Source,Target,Type,Id,Weight
JPN,CHN,Directed,1445,3018901909
USA,CHN,Directed,2932,3011083577
DEU,CHN,Directed,938,1652365116
GBR,CHN,Directed,2799,803607512
THA,CHN,Directed,2552,751069086
BEL,CHN,Directed,171,683535393
MYS,CHN,Directed,1609,682405423
MEX,CHN,Directed,1664,524561106
CAN,CHN,Directed,355,471240942
IDN,CHN,Directed,1222,460044119
KOR,CHN,Directed,2078,436547109
MEX,USA,Directed,1708,383251259
FRA,CHN,Directed,847,372298501
VNM,CHN,Directed,3054,361926302
ESP,CHN,Directed,2357,343558307
DEU,NLD,Directed,978,333859934
PHL,CHN,Directed,1962,308749062
USA,CAN,Directed,2925,290798870
NLD,CHN,Directed,1768,286846581
AUS,CHN,Directed,29,286395945
NOR,SWE,Directed,1879,265421526
MAC,CHN,Directed,3606,204349201
USA,IND,Directed,3003,196784112
NLD,BEL,Directed,1763,196015316
CAN,USA,Directed,397,171488735
CHE,DEU,Directed,2501,168037374
DEU,AUT,Directed,927,160083455
BEL,NLD,Directed,211,157328622
ITA,CHN,Directed,1345,139327409
AUT,SVK,Directed,94,139029593
NLD,DEU,Directed,1774,126212943
FRA,BEL,Directed,842,124868594
USA,IDN,Directed,2965,121622110
SGP,CHN,Directed,2223,116523347
FRA,NLD,Directed,878,115557041
FRA,ITA,Directed,862,109854742
DEU,CZE,Directed,941,107518980
GBR,NLD,Directed,2845,107089366
GBR,MYS,Directed,2838,106892980
USA,MYS,Directed,2982,101562093
FRA,DEU,Directed,854,96426975
JPN,KOR,Directed,1456,95527332
SVN,CHN,Directed,2276,94503474
PAK,CHN,Directed,1893,93005646
ITA,AUT,Directed,1334,85163634
DEU,IND,Directed,996,82296158
SAU,CHN,Directed,2169,80254087
POL,DEU,Directed,2001,80038042
YEM,CHN,Directed,3079,79917752
POL,CHN,Directed,1991,78906208
BGD,CHN,Directed,122,78738900
PRT,CHN,Directed,2042,77392016
SWE,DEU,Directed,2462,75376777
USA,MEX,Directed,2983,73524931
JPN,MYS,Directed,1461,69569627
AUT,DEU,Directed,66,69544258
AUT,CZE,Directed,62,68301192
CZE,DEU,Directed,592,64967566
CHN,VNM,Directed,466,64849146
FRA,IRL,Directed,860,62233492
DEU,ITA,Directed,964,62201512
CHN,MYS,Directed,449,61649767
FRA,ESP,Directed,898,61562971
DEU,BEL,Directed,930,60030973
DEU,FRA,Directed,950,59564288
NLD,GBR,Directed,1818,58920582
DEU,MYS,Directed,974,58907364
DNK,DEU,Directed,643,57993114
BEL,FRA,Directed,181,57342233
IND,CHN,Directed,1131,54023201
DEU,POL,Directed,986,53466361
NZL,CHN,Directed,1824,52400651
GBR,DEU,Directed,2812,51931565
CZE,CHN,Directed,588,50793839
NLD,IRL,Directed,1783,50444887
ESP,PRT,Directed,2409,49518676
IRL,GBR,Directed,1311,47069467
BEL,DEU,Directed,184,46171485
ROU,CHN,Directed,2103,46010763
NLD,LVA,Directed,1790,45707162
MEX,IDN,Directed,1681,45221094
GBR,IND,Directed,2863,45032678
ARE,CHN,Directed,2750,44369690
ITA,SVN,Directed,1410,43913123
BEL,IND,Directed,228,43600426
DEU,LVA,Directed,4744,43111645
NLD,IND,Directed,1804,38881507
ZAF,CHN,Directed,2312,38207833
SGP,MYS,Directed,2230,37987941
ITA,DEU,Directed,1359,37141454
BEL,ITA,Directed,194,35547929
GBR,FRA,Directed,2810,35523978
SWE,CHN,Directed,2455,35164397
CHN,USA,Directed,481,34779075
IRQ,ARE,Directed,1282,34000000
AUS,MYS,Directed,38,33973719
NLD,FRA,Directed,1773,33724053
GBR,IDN,Directed,2822,32944585
DEU,USA,Directed,1022,32347211
TUN,CHN,Directed,2611,31540452
ECU,CHN,Directed,706,30806225
ARG,CHN,Directed,19,30679590
THA,VNM,Directed,2588,30316152
ESP,MYS,Directed,2389,29982996
USA,VNM,Directed,3008,28944458
IRL,NLD,Directed,1298,28770035
ITA,USA,Directed,1434,28692521
