Source,Target,Type,Id,Weight
USA,CHN,Directed,739,182502650
DEU,NLD,Directed,157,158432351
CAN,USA,Directed,40,78682652
USA,CAN,Directed,736,76756653
MEX,USA,Directed,378,64993639
JPN,CHN,Directed,319,64698601
NLD,IDN,Directed,410,57198298
NLD,DEU,Directed,405,52537414
SGP,MYS,Directed,576,43838051
BEL,NLD,Directed,1414,38060938
NLD,BEL,Directed,394,35048210
DEU,ITA,Directed,151,29563811
DEU,USA,Directed,176,29267411
NLD,CHN,Directed,397,26601103
USA,IDN,Directed,760,26437467
DEU,CHE,Directed,170,22503826
DEU,BEL,Directed,131,22223351
USA,IND,Directed,784,20878283
NLD,USA,Directed,451,19509463
DEU,IDN,Directed,148,17658659
DEU,GRC,Directed,145,15677462
JPN,KOR,Directed,325,15279329
CHE,DEU,Directed,670,15262493
ITA,USA,Directed,1771,14980373
BEL,DEU,Directed,1078,14438150
NLD,GBR,Directed,449,13839991
USA,MEX,Directed,770,12567369
DEU,IRL,Directed,188,12398157
FRA,ESP,Directed,1616,12318006
USA,ITA,Directed,763,12250919
DEU,ESP,Directed,168,12007382
NLD,IRL,Directed,412,11840089
USA,PHL,Directed,778,10698784
FRA,NLD,Directed,1420,10640537
NLD,ITA,Directed,414,10088740
CHE,ITA,Directed,674,10059470
CAN,CHN,Directed,25,9787202
FRA,USA,Directed,1762,9161476
GBR,USA,Directed,1790,8684780
CHE,NLD,Directed,675,8098311
RUS,DEU,Directed,1103,7728163
NLD,FRA,Directed,403,7524776
USA,DEU,Directed,751,7522976
KOR,CHN,Directed,513,6812245
GBR,IRL,Directed,1304,6576454
KOR,IND,Directed,528,6495904
FRA,DEU,Directed,1088,6343959
USA,ESP,Directed,786,6325345
GBR,NLD,Directed,1446,5938084
JPN,USA,Directed,333,5932343
DEU,FRA,Directed,144,5889424
USA,CHL,Directed,738,5864758
MYS,SGP,Directed,356,5833106
SWE,DEU,Directed,638,5805729
ESP,PRT,Directed,597,5378050
BEL,USA,Directed,1754,5328944
NLD,IND,Directed,436,5293822
SWE,ITA,Directed,644,5206000
USA,BEL,Directed,731,5159689
SGP,CHN,Directed,573,5076357
DEU,PHL,Directed,161,4714101
USA,JPN,Directed,766,4656047
DNK,DEU,Directed,85,4569415
DEU,CHN,Directed,136,4419879
AUS,USA,Directed,14,4138813
NLD,PAK,Directed,429,3867666
ESP,USA,Directed,602,3838764
DEU,IND,Directed,165,3837577
DEU,DNK,Directed,141,3649550
ITA,DEU,Directed,1092,3616900
PAK,IRL,Directed,1293,3566125
MAC,CHN,Directed,65,3540450
NLD,SAU,Directed,434,3531762
RUS,HUN,Directed,1191,3375612
USA,BRA,Directed,733,3252592
ESP,IRL,Directed,592,3144799
IRL,GBR,Directed,306,3093296
CSK,DEU,Directed,1083,3083322
DEU,GBR,Directed,175,2936459
ITA,IRL,Directed,1286,2927160
FIN,DEU,Directed,116,2821265
USA,GBR,Directed,797,2805265
SWE,DNK,Directed,633,2798673
FRA,PRT,Directed,1499,2793162
GBR,IND,Directed,1228,2715080
NLD,ESP,Directed,440,2651608
DEU,AUT,Directed,129,2598810
SGP,MMR,Directed,569,2554655
DEU,HUN,Directed,147,2542350
HUN,ITA,Directed,245,2533397
IDN,IRL,Directed,1284,2491386
USA,SAU,Directed,782,2484233
BEL,SAU,Directed,1544,2467565
MYS,CHN,Directed,348,2424070
GBR,DEU,Directed,1110,2399646
DEU,TUR,Directed,172,2293358
USA,CRI,Directed,741,2282893
NLD,PHL,Directed,430,2250062
USA,TUR,Directed,794,2243009
SGP,USA,Directed,585,2242528
HUN,AUT,Directed,241,2217123
DEU,PRT,Directed,163,2189054
IND,IRL,Directed,270,2188971
BEL,IRL,Directed,1280,2147709
JPN,IDN,Directed,321,2110464
RUS,IRL,Directed,1296,2105750
POL,IRL,Directed,1294,2021937
DEU,SWE,Directed,169,1994219
PRT,ITA,Directed,502,1920698
SWE,USA,Directed,659,1885530
DEU,SAU,Directed,1547,1870855
AUT,DEU,Directed,1077,1839187
CHN,MYS,Directed,1374,1837908
MEX,IRL,Directed,1290,1831000
NLD,ISR,Directed,413,1828030
AUT,NLD,Directed,1413,1813639
KOR,IDN,Directed,516,1781154
DNK,SWE,Directed,97,1780764
NLD,DNK,Directed,400,1758517
HUN,DEU,Directed,243,1752877
USA,PAK,Directed,775,1679847
SWE,CHN,Directed,640,1677538
ISL,NLD,Directed,266,1669620
MEX,VGB,Directed,367,1625375
KOR,USA,Directed,522,1607093
FRA,IRL,Directed,1282,1605875
DEU,CAN,Directed,134,1597106
POL,DEU,Directed,1100,1592886
USA,GTM,Directed,754,1591878
USA,NLD,Directed,771,1572109
DNK,CHN,Directed,87,1571862
CHE,IRL,Directed,686,1567327
