Source,Target,Type,Id,Weight
USA,CHN,Directed,2929,3330932452
JPN,CHN,Directed,1426,3024584314
DEU,CHN,Directed,903,1748744261
GBR,CHN,Directed,2793,947925530
MEX,CHN,Directed,1645,929174328
BEL,CHN,Directed,144,845959296
THA,CHN,Directed,2548,794681276
MYS,CHN,Directed,1580,617243933
CAN,CHN,Directed,330,558802921
KOR,CHN,Directed,2053,445843756
MEX,USA,Directed,1650,444213986
ESP,CHN,Directed,2333,436853991
AUS,CHN,Directed,19,435945990
FRA,CHN,Directed,805,412445926
PHL,CHN,Directed,1929,384716222
DEU,NLD,Directed,944,383602013
IDN,CHN,Directed,1197,373969322
USA,CAN,Directed,2921,372746798
VNM,CHN,Directed,3034,320773959
NLD,CHN,Directed,1716,305031282
NOR,SWE,Directed,1838,188037419
BEL,NLD,Directed,182,172621636
CAN,USA,Directed,370,169663656
USA,IND,Directed,2999,166631827
DEU,AUT,Directed,891,166239485
MAC,CHN,Directed,481,161915673
SVN,CHN,Directed,2246,160346675
NLD,BEL,Directed,1710,143828415
USA,IDN,Directed,2957,143465557
NLD,DEU,Directed,1726,141845751
CHE,DEU,Directed,2492,139672057
FRA,NLD,Directed,837,131762304
FRA,ITA,Directed,822,119194732
GBR,NLD,Directed,2842,117781880
POL,CHN,Directed,1962,116276128
SGP,CHN,Directed,2192,113935130
POL,DEU,Directed,1970,113443916
DEU,CZE,Directed,906,108297708
ITA,AUT,Directed,1317,107059805
FRA,BEL,Directed,800,95171813
ITA,CHN,Directed,1327,94169877
FRA,DEU,Directed,815,91733468
JPN,KOR,Directed,1436,88890274
DEU,IND,Directed,959,88595682
AUT,CZE,Directed,47,88549847
PAK,CHN,Directed,1859,85374653
GBR,MYS,Directed,2836,78024553
CZE,DEU,Directed,566,77281833
DNK,DEU,Directed,609,76484490
GBR,IND,Directed,2857,75718435
PRT,CHN,Directed,2016,73623103
SAU,CHN,Directed,2147,73072644
AUT,DEU,Directed,53,70868770
USA,MYS,Directed,2972,69168865
USA,MEX,Directed,2975,66943526
DEU,MYS,Directed,940,66606026
SWE,DEU,Directed,2453,64691818
CHN,NGA,Directed,429,63401112
DEU,BEL,Directed,894,63139248
CHN,VNM,Directed,441,62941414
NZL,CHN,Directed,1787,59006359
DEU,FRA,Directed,915,58078250
DEU,ITA,Directed,928,55967195
IRL,GBR,Directed,1295,54936559
BEL,FRA,Directed,152,54707432
DEU,POL,Directed,951,54287391
FRA,IRL,Directed,820,54160244
FRA,ESP,Directed,860,53988218
ITA,SVN,Directed,1395,53356431
NLD,GBR,Directed,1780,53247214
BGD,CHN,Directed,3493,52485774
ROU,CHN,Directed,2081,47540949
ARE,CHN,Directed,2744,47446461
JPN,MYS,Directed,1442,46994543
BEL,DEU,Directed,155,46915302
BEL,IND,Directed,199,44684651
YEM,CHN,Directed,3056,44519468
NLD,IRL,Directed,1738,43980932
BEL,ITA,Directed,166,43619927
GBR,DEU,Directed,2807,43288727
DEU,DNK,Directed,908,42977320
NLD,IND,Directed,1762,42195251
ECU,USA,Directed,680,42100495
GBR,VNM,Directed,2862,41444710
IRQ,TUR,Directed,5891,41195044
SWE,CHN,Directed,2447,41129710
AUT,SVK,Directed,79,40201172
USA,VNM,Directed,3003,39202334
DEU,LVA,Directed,936,37987276
AUT,SVN,Directed,80,37623347
TUN,CHN,Directed,2613,37351699
CZE,CHN,Directed,562,37267257
TZA,CHN,Directed,2886,36467861
ITA,DEU,Directed,1342,34717791
NLD,FRA,Directed,1724,34548205
IRL,NLD,Directed,1283,34506798
DEU,USA,Directed,988,33437915
USA,KOR,Directed,2968,33335140
NOR,DEU,Directed,1824,32978277
AUS,IDN,Directed,23,32892460
CHN,THA,Directed,445,32705113
