Source,Target,Type,Id,Weight
CHN,USA,Directed,10325,9440662360
CHN,JPN,Directed,9047,3527155282
USA,MEX,Directed,53134,2155214924
CAN,USA,Directed,7642,2047388033
CHN,GBR,Directed,10293,1686699668
USA,CAN,Directed,52442,1610880618
CHN,DEU,Directed,8767,1380027763
MEX,USA,Directed,30571,1184731774
CHN,FRA,Directed,8689,864441014
DEU,NLD,Directed,19037,839715001
CHN,AUS,Directed,8067,804956017
CHN,CAN,Directed,8331,797173140
CHN,ITA,Directed,9006,735583907
CHN,ESP,Directed,10018,672084675
ZAF,SWZ,Directed,268449,654342274
CHN,KOR,Directed,9126,643990784
BEL,GBR,Directed,4659,633506232
DEU,FRA,Directed,18433,574386290
NLD,BEL,Directed,31127,569666389
CHN,NLD,Directed,9470,556567430
CHN,MEX,Directed,9366,522490413
ITA,FRA,Directed,25007,507301655
CHN,ARE,Directed,10175,502553649
DEU,GBR,Directed,19659,479665171
CHN,RUS,Directed,9783,476163232
NLD,DEU,Directed,31453,462266508
NLD,GBR,Directed,32316,448236657
BEL,FRA,Directed,3620,444117189
DEU,AUT,Directed,17950,384840984
BEL,DEU,Directed,3671,380906358
ITA,DEU,Directed,25054,377566915
KOR,CHN,Directed,37063,361923975
CHN,BEL,Directed,8158,360636940
FRA,DEU,Directed,16669,343472853
GBR,IRL,Directed,51109,339804917
POL,DEU,Directed,35534,329775550
CHN,SWZ,Directed,10060,326691389
CHN,UKR,Directed,10250,324224559
CHN,SAU,Directed,9831,321190320
MYS,GBR,Directed,29703,320390929
FRA,BEL,Directed,16286,313397795
DEU,CZE,Directed,18298,305949641
DEU,BEL,Directed,18007,304732547
BEL,NLD,Directed,4145,297752112
CHN,MYS,Directed,9288,291921767
FRA,GBR,Directed,17664,289174572
CHN,PHL,Directed,9691,286400631
DEU,POL,Directed,19187,286166358
CHN,PAN,Directed,9632,283295720
THA,USA,Directed,47844,270593022
ESP,FRA,Directed,42594,260119748
CZE,DEU,Directed,12826,253693072
KOR,USA,Directed,37879,253676963
CHN,IND,Directed,9901,251770718
DEU,CHE,Directed,19488,250291966
GBR,FRA,Directed,50931,245533720
FRA,ESP,Directed,17485,239140433
IDN,USA,Directed,22685,235271188
ITA,ESP,Directed,25856,234367525
CHN,ZAF,Directed,9989,225240619
THA,JPN,Directed,47170,221704581
CHN,IDN,Directed,8924,219077400
MYS,SGP,Directed,29588,215698556
CHN,BRA,Directed,8206,214606124
CHN,POL,Directed,9709,213689334
JPN,CHN,Directed,26316,206671568
CHN,TUR,Directed,10208,202086525
IDN,JPN,Directed,22661,198315016
DEU,ITA,Directed,18662,195518584
CHN,SGP,Directed,9918,194011002
DEU,ESP,Directed,19437,189613673
CHN,THA,Directed,10120,188520470
VNM,USA,Directed,54462,180146623
IRL,GBR,Directed,24109,178325289
NLD,FRA,Directed,31404,176454994
ESP,PRT,Directed,43177,174214512
AUT,DEU,Directed,1668,172065812
CHN,ROU,Directed,9767,169988214
CHE,DEU,Directed,45334,169674376
