Source,Target,Type,Id,Weight
KOR,JPN,Directed,6142,195034719
USA,MEX,Directed,44860,194747918
BEL,DEU,Directed,42504,189234145
DEU,NLD,Directed,2213,188138101
USA,CAN,Directed,40860,182244301
KOR,USA,Directed,6157,164852701
NLD,DEU,Directed,42519,158733719
DEU,CHE,Directed,2231,154445822
CAN,USA,Directed,662,131795172
DEU,FRA,Directed,2184,118889997
ITA,DEU,Directed,42516,116723799
FRA,DEU,Directed,42510,94136973
CHN,DEU,Directed,42506,83895041
DEU,BEL,Directed,2170,82658685
DEU,GBR,Directed,2240,79046544
CHE,DEU,Directed,8057,68263973
CHN,JPN,Directed,43976,67901831
DEU,AUT,Directed,2168,67790088
MYS,SGP,Directed,5128,58587388
DNK,DEU,Directed,1260,56483591
AUT,DEU,Directed,42503,44196363
DEU,DNK,Directed,2182,44050159
DEU,ITA,Directed,2195,39163797
MEX,USA,Directed,5369,36902708
KOR,CAN,Directed,6167,36861040
KOR,DEU,Directed,6184,35196270
THA,JPN,Directed,8790,33727432
DEU,ESP,Directed,2228,33624089
THA,USA,Directed,8804,32666517
ITA,ESP,Directed,46585,29715192
USA,JPN,Directed,43987,29239661
JPN,USA,Directed,4313,29230456
KOR,CHN,Directed,6139,28472818
ESP,FRA,Directed,7390,28158239
IDN,USA,Directed,4075,27553771
THA,SGP,Directed,8799,27433933
DNK,SWE,Directed,1273,27182115
GBR,DEU,Directed,42531,25835441
SGP,MYS,Directed,6835,25404401
CHN,AUS,Directed,40211,25192242
SGP,USA,Directed,6846,23105978
DEU,USA,Directed,2242,23098146
ITA,CHE,Directed,47138,22865561
PRT,ESP,Directed,5808,22481277
CHN,CAN,Directed,40850,21881141
KOR,THA,Directed,6154,21718885
THA,DEU,Directed,8787,21102297
DNK,GBR,Directed,1277,19778728
DNK,NOR,Directed,1268,19661441
DEU,SWE,Directed,2230,19378280
THA,GBR,Directed,8803,18996054
GRC,DEU,Directed,3455,18750773
KOR,GBR,Directed,6156,17315129
JPN,CHN,Directed,4287,17243620
FRA,CHE,Directed,47133,17152648
