Source,Target,Type,Id,Weight
CHN,ZAF,Directed,11906,38588006038
CHN,USA,Directed,12309,12818472948
CHN,JPN,Directed,10710,3542718098
IND,ZAF,Directed,29313,3428444113
USA,CAN,Directed,68444,2550257175
USA,MEX,Directed,69192,2488193136
ZAF,NAM,Directed,54942,2036972986
CHN,GBR,Directed,12273,1993432460
CHN,DEU,Directed,10377,1951239043
CAN,USA,Directed,9036,1679530965
VNM,ZAF,Directed,70634,1614763424
MEX,USA,Directed,39162,1489299895
CHN,CAN,Directed,9832,1414039813
CHN,AUS,Directed,9484,1274293632
CHN,KOR,Directed,10801,1230269213
ZAF,BWA,Directed,54481,1154428441
CHN,IND,Directed,11801,1073419968
CHN,FRA,Directed,10266,1055678038
CHN,RUS,Directed,11645,1051590403
CHN,MEX,Directed,11095,1022985901
CHN,NLD,Directed,11248,1018114729
CHN,ESP,Directed,11938,956479850
POL,DEU,Directed,45497,896934296
VNM,USA,Directed,70743,866830977
DEU,NLD,Directed,24421,845499817
CHN,IDN,Directed,10570,838376023
BGD,ZAF,Directed,372398,832779806
LSO,ZAF,Directed,372787,822299929
CHN,ITA,Directed,10659,814874636
NLD,DEU,Directed,40792,813852594
CHN,THA,Directed,12072,776720047
CHN,ARE,Directed,12136,763310119
CHN,BRA,Directed,9671,701074616
DEU,FRA,Directed,23684,696738880
CHN,SAU,Directed,11721,691808577
CHN,PHL,Directed,11535,662461947
CHN,MYS,Directed,10997,662445695
CHN,VNM,Directed,11855,658354860
CHN,POL,Directed,11553,654824846
CHN,CHL,Directed,9907,609005107
DEU,GBR,Directed,25167,608873454
CZE,DEU,Directed,15580,594464197
VNM,JPN,Directed,70360,575736835
NLD,BEL,Directed,40305,570534064
CHN,BEL,Directed,9594,565268370
SWZ,ZAF,Directed,57365,529629064
IND,USA,Directed,29578,523774912
BEL,FRA,Directed,4165,523742297
DEU,POL,Directed,24614,520898110
DEU,AUT,Directed,23143,512141835
BEL,NLD,Directed,4860,511727786
MOZ,ZAF,Directed,39806,495145019
ITA,FRA,Directed,32431,485821188
GBR,IRL,Directed,66815,471806583
DEU,CZE,Directed,23531,462851198
NLD,GBR,Directed,42083,456827961
ZAF,LSO,Directed,54814,452899719
DEU,ZAF,Directed,24903,432805788
ITA,DEU,Directed,32492,426321220
DEU,BEL,Directed,23207,422274073
BLR,RUS,Directed,3466,421196585
CHN,MMR,Directed,9757,413977488
ESP,FRA,Directed,55939,396775442
BEL,GBR,Directed,5542,377395352
TUR,USA,Directed,63787,376838386
FRA,ESP,Directed,22546,375784175
FRA,DEU,Directed,21442,364778041
CHN,KAZ,Directed,10729,354057618
BEL,DEU,Directed,4243,353287535
ZAF,SWZ,Directed,55171,346956842
ITA,ESP,Directed,33506,337597619
DEU,CHE,Directed,24982,334788312
IRL,ZAF,Directed,31293,331371025
CHN,COL,Directed,9925,329919545
VNM,KOR,Directed,70384,323838311
MDG,ZAF,Directed,37581,319676655
ESP,PRT,Directed,56792,317952751
AUT,DEU,Directed,1762,314565064
IRN,IRQ,Directed,30633,307954197
DEU,ITA,Directed,23985,302220130
KOR,CHN,Directed,48027,301404308
FRA,GBR,Directed,22764,301161095
USA,CHN,Directed,68509,298379385
NLD,FRA,Directed,40729,297420232
CHN,SGP,Directed,11820,297089950
CHN,TUR,Directed,12169,293188706
THA,JPN,Directed,60837,290341758
CHN,PER,Directed,11517,285926540
IDN,ZAF,Directed,30379,277668709
TUR,DEU,Directed,62527,275134376
ZAF,ZMB,Directed,55318,269247894
PRT,ESP,Directed,47580,269108713
KOR,USA,Directed,49014,263837157
IDN,USA,Directed,30494,262996235
IDN,JPN,Directed,30022,262480264
POL,CZE,Directed,45340,259536655
FRA,BEL,Directed,20930,256348060
CHN,GRC,Directed,10428,254186555
CHN,KGZ,Directed,10836,249845441
MUS,ZAF,Directed,38754,248975612
THA,USA,Directed,61550,247321429
CHN,SWE,Directed,12007,246807845
DEU,ESP,Directed,24925,245978957
CHN,EGY,Directed,12254,240685357
CHN,ISR,Directed,10642,236812339
CHN,GHA,Directed,10396,236640586
CHN,IRQ,Directed,10608,229403604
FRA,ITA,Directed,21661,226286070
CHE,DEU,Directed,59138,224953005
IRL,GBR,Directed,31372,223892419
TUR,SAU,Directed,63356,223148202
POL,FRA,Directed,45443,222613712
MYS,SGP,Directed,38215,217742154
CHN,NGA,Directed,11383,215882320
TUR,GBR,Directed,63759,215422051
DEU,HUN,Directed,23873,209870063
ITA,GBR,Directed,33716,209606691
CHN,CZE,Directed,10057,209462033
CHN,DNK,Directed,10091,204761214
CHN,PAK,Directed,11449,204316033
CHN,NZL,Directed,11338,202355112
JPN,CHN,Directed,33930,200318101
DEU,USA,Directed,25194,198005175
TUR,IRQ,Directed,62669,189032640
CHN,UKR,Directed,12224,187144310
IND,GBR,Directed,29544,186070150
