Source,Target,Type,Id,Weight
JPN,DZA,Directed,4543,42814
LKA,MDV,Directed,8588,42779
KOR,BGR,Directed,6734,42745
MYS,EGY,Directed,5501,42624
MYS,LBN,Directed,5475,42609
CYP,CHE,Directed,1470,42591
PRK,TUR,Directed,57448,42460
DEU,ANT,Directed,2503,42445
NZL,FRA,Directed,5846,42442
CHL,BRA,Directed,1150,42382
DEU,NPL,Directed,2501,42377
USA,NER,Directed,10730,42199
CHN,SUN,Directed,1285,42065
SGP,YEM,Directed,7386,41946
CAN,PRY,Directed,945,41905
VCT,USA,Directed,64309,41884
USA,LBR,Directed,10715,41801
IDN,MAR,Directed,4272,41714
PHL,KOR,Directed,54816,41703
SUN,ROU,Directed,55077,41652
VNM,KOR,Directed,54907,41640
BRB,JAM,Directed,52689,41625
PRT,GTM,Directed,6165,41609
KOR,SUR,Directed,6685,41535
JPN,POL,Directed,4613,41480
DNK,MLT,Directed,1642,41098
SGP,SYR,Directed,7641,41035
ESP,MYS,Directed,7967,40930
KOR,NER,Directed,6781,40891
COL,BOL,Directed,1315,40637
SYR,CYP,Directed,50310,40549
TZA,DEU,Directed,51792,40476
FIN,CHN,Directed,2168,40282
IDN,CSK,Directed,20861,40275
MDV,USA,Directed,69619,40261
CHE,IRN,Directed,8726,40069
TUR,IRQ,Directed,10287,40000
AUT,NZL,Directed,53955,39936
DOM,DEU,Directed,51609,39902
PRT,EGY,Directed,6145,39843
ESP,ISL,Directed,7957,39785
PAK,FIN,Directed,51133,39755
ITA,TTO,Directed,57180,39707
AUS,VUT,Directed,11,39440
PRT,SEN,Directed,6098,39187
SWE,IDN,Directed,52507,39148
FIN,IDN,Directed,2208,39133
SGP,ISR,Directed,7416,39108
GBR,ECU,Directed,50929,39075
THA,VNM,Directed,9501,38895
ESP,YEM,Directed,8294,38853
PER,COL,Directed,50169,38764
THA,MRT,Directed,9473,38748
BRA,KOR,Directed,401,38618
JPN,PNG,Directed,4609,38400
MYS,FJI,Directed,5326,38297
NZL,SUN,Directed,5872,38211
AUT,CYP,Directed,50268,38119
CAN,VCT,Directed,785,38078
NOR,JPN,Directed,52819,37825
PRT,URY,Directed,6349,37799
CYP,KWT,Directed,1460,37782
TUR,YEM,Directed,10309,37771
ESP,IND,Directed,8061,37686
DEU,SEN,Directed,2517,37676
CAN,CRI,Directed,705,37502
SGP,COM,Directed,7404,37463
USA,GLP,Directed,10593,37378
ISR,PRT,Directed,54495,37365
BRA,CIV,Directed,675,37283
IND,PHL,Directed,3908,37218
PRT,PHL,Directed,6135,37195
COL,HND,Directed,1324,37033
SUN,SAU,Directed,55372,37031
CYP,QAT,Directed,1466,37002
TUR,HUN,Directed,10364,36888
TUN,GBR,Directed,10226,36854
DEU,SUR,Directed,2656,36761
BGD,SGP,Directed,18686,36649
FIN,ARE,Directed,2236,36368
ITA,MDG,Directed,53203,36362
USA,NCL,Directed,10727,36342
KOR,COG,Directed,6621,36244
AUS,CHL,Directed,31,36172
AGO,PRT,Directed,54480,36160
PAK,CYP,Directed,50389,36132
PRT,MEX,Directed,6129,36023
CHE,MAR,Directed,8663,35994
TUR,TZA,Directed,17725,35949
IND,ARG,Directed,3947,35874
CHE,PHL,Directed,8667,35786
SYR,ESP,Directed,62999,35691
IND,CMR,Directed,3829,35589
BRA,TUR,Directed,619,35588
CHL,ESP,Directed,1160,35444
ISL,NOR,Directed,3790,35269
IND,HUN,Directed,4034,35030
ESP,PAK,Directed,8265,34925
SGP,TZA,Directed,7461,34775
CRI,CAN,Directed,49484,34558
BRA,CRI,Directed,392,34489
IND,JOR,Directed,3816,34390
AUS,BEL,Directed,26,34364
SUN,CYP,Directed,50313,34274
DNK,ABW,Directed,1848,33839
NZL,HUN,Directed,5948,33714
BGD,JPN,Directed,372,33625
JPN,UGA,Directed,4628,33478
CHE,EGY,Directed,8680,33471
MYS,CYP,Directed,5324,33461
CAN,ANT,Directed,775,33445
IDN,COG,Directed,4255,33358
FRA,ROU,Directed,55062,33241
SGP,URY,Directed,7651,33164
IND,GRC,Directed,3966,33132
ISL,AUS,Directed,3760,32999
NZL,TON,Directed,5832,32978
DEU,CRI,Directed,2469,32639
MYS,OMN,Directed,5370,32506
GRC,AUS,Directed,48831,32435
MAR,CHE,Directed,56547,32415
SGP,BGR,Directed,7396,32338
BRN,DEU,Directed,60664,32334
PAK,BGD,Directed,49267,32246
MEX,TCA,Directed,44824,32199
SGP,CSK,Directed,7583,32015
IDN,MMR,Directed,4420,32000
CYP,USA,Directed,1522,31999
KOR,YEM,Directed,6536,31893
AUS,CXR,Directed,33,31888
KEN,USA,Directed,57862,31804
LCA,DEU,Directed,51642,31788
CAN,PAN,Directed,778,31778
MAR,CAN,Directed,49536,31485
JAM,VCT,Directed,4480,31473
USA,SEN,Directed,10869,31421
BRA,MYS,Directed,445,31396
THA,KHM,Directed,9430,31363
FIN,SAU,Directed,2271,31315
SAU,SOM,Directed,7208,31279
NLD,IND,Directed,52428,31158
PRT,OMN,Directed,54343,30996
JPN,TUN,Directed,4898,30933
MYS,PAN,Directed,5375,30907
DNK,CPV,Directed,1606,30863
BGD,SWE,Directed,381,30748
CYP,BGR,Directed,1451,30670
FIN,CSK,Directed,2199,30606
CHL,SWE,Directed,1207,30548
NLD,THA,Directed,56949,30535
TUR,QAT,Directed,10378,30529
PAN,PRY,Directed,54381,30270
NZL,SAU,Directed,5866,30267
ESP,GUF,Directed,8014,30266
ITA,ECU,Directed,50923,30249
ESP,JOR,Directed,7963,30022
JPN,VEN,Directed,4635,30018
ESP,CSK,Directed,7943,30008
HUN,CHN,Directed,50094,30000
PAN,CHL,Directed,49875,29987
VNM,CAN,Directed,70957,29799
IDN,HUN,Directed,4327,29660
MAR,SGP,Directed,55801,29655
SLV,DEU,Directed,51457,29623
THA,BDI,Directed,9632,29540
DEU,AND,Directed,2537,29528
SUN,CHL,Directed,49883,29503
USA,TZA,Directed,10768,29444
IND,NPL,Directed,3817,29423
HUN,ISL,Directed,52181,29407
SUN,DNK,Directed,50624,29315
SUN,CAN,Directed,49510,29285
IND,CHL,Directed,13892,29204
TUN,SAU,Directed,24247,29148
FRA,MWI,Directed,53272,29135
MYS,PRT,Directed,5490,29073
KOR,GUY,Directed,6969,29033
MAR,AUS,Directed,49156,29019
KWT,SAU,Directed,55218,28687
KOR,FLK,Directed,6480,28686
BHR,JPN,Directed,52799,28683
BRA,NOR,Directed,504,28643
MYS,KWT,Directed,5329,28627
IND,VNM,Directed,13822,28546
THA,IRN,Directed,9456,28383
SGP,TTO,Directed,7456,28344
IDN,ISL,Directed,52227,28263
IND,CSK,Directed,3882,28251
LKA,NOR,Directed,16656,28097
IND,UGA,Directed,3868,28048
AUS,DNK,Directed,38,27923
NLD,MDG,Directed,53212,27909
VEN,ESP,Directed,55927,27854
KOR,AND,Directed,6457,27817
COL,ESP,Directed,1355,27805
MYS,LBY,Directed,5477,27805
DEU,BOL,Directed,2549,27798
IDN,ECU,Directed,4423,27795
BEL,BRA,Directed,49315,27769
MUS,SGP,Directed,55622,27761
FIN,GRC,Directed,2205,27734
DNK,NGA,Directed,1650,27707
IRN,SGP,Directed,55798,27615
ESP,GLP,Directed,7955,27583
CHN,GUY,Directed,52096,27427
THA,UGA,Directed,9595,27268
JPN,LBY,Directed,4848,27262
CSK,ROU,Directed,55061,27230
ISL,GRL,Directed,3769,27077
USA,COD,Directed,10798,27046
DEU,AGO,Directed,2456,27040
CHE,TUN,Directed,8775,27004
USA,AIA,Directed,10626,26994
TUR,OMN,Directed,10328,26948
AUT,MYS,Directed,53338,26762
AUS,VNM,Directed,71,26689
DEU,CMR,Directed,2465,26560
PAN,JAM,Directed,52706,26542
MYS,SUN,Directed,44645,26503
TUR,NOR,Directed,10330,26472
AUS,WSM,Directed,22,26455
PAN,DEU,Directed,51481,26312
SWE,ROU,Directed,55117,26265
IND,ISL,Directed,3969,26261
SAU,THA,Directed,7352,26253
AUS,ISR,Directed,47,26180
CHL,PYF,Directed,1155,26151
TUR,IDN,Directed,10532,26125
NZL,VUT,Directed,5827,26111
ESP,GNQ,Directed,7947,26090
IND,VEN,Directed,14091,26072
CHL,CSK,Directed,41825,26066
MMR,SGP,Directed,68104,26042
ZWE,DEU,Directed,51489,25847
PER,USA,Directed,57875,25751
ESP,PRY,Directed,8051,25608
PAK,MEX,Directed,67339,25598
MYS,YEM,Directed,5504,25554
THA,WSM,Directed,9518,25519
CHE,DZA,Directed,8638,25518
THA,TTO,Directed,9413,25439
KOR,MNG,Directed,30599,25321
DEU,BRB,Directed,2461,25222
KOR,SPM,Directed,6677,25158
