Source,Target,Type,Id,Weight
CHN,USA,Directed,1391,1147233752
USA,MEX,Directed,14968,573312745
USA,CAN,Directed,14935,557687824
DEU,NLD,Directed,3496,404341583
NLD,DEU,Directed,8071,372785651
MEX,USA,Directed,7819,347409599
CAN,USA,Directed,822,339101686
CHN,JPN,Directed,1428,261721646
BEL,DEU,Directed,68028,242814124
KOR,USA,Directed,9849,237691951
CHN,DEU,Directed,1380,228389703
KOR,JPN,Directed,9833,177965199
ITA,DEU,Directed,68041,153543827
DEU,CHE,Directed,3519,142328423
FRA,DEU,Directed,68036,139020731
BEL,NLD,Directed,71812,128623588
DEU,FRA,Directed,3462,124049586
NLD,BEL,Directed,8059,101054645
THA,USA,Directed,13625,100914198
JPN,USA,Directed,6618,98718448
MYS,SGP,Directed,7496,95839701
GBR,IRL,Directed,70096,93669195
CHN,GBR,Directed,1390,86241997
DEU,BEL,Directed,3447,85965427
USA,JPN,Directed,14962,84934434
DNK,DEU,Directed,2481,79471384
DEU,AUT,Directed,3443,78127544
DEU,GBR,Directed,3528,77673154
CHE,DEU,Directed,12863,73598544
CHN,NLD,Directed,1439,73277023
NLD,FRA,Directed,8070,69908707
USA,SAU,Directed,14986,69571876
IDN,USA,Directed,5986,66328747
DEU,USA,Directed,3530,64594268
KOR,CHN,Directed,9828,60842565
CHN,AUS,Directed,1377,59554244
NLD,GBR,Directed,8110,58721685
AUT,DEU,Directed,68027,57253864
CHN,FRA,Directed,1379,55752401
THA,JPN,Directed,13610,51962418
DEU,DNK,Directed,3458,50531027
DNK,SWE,Directed,2496,49461925
USA,DEU,Directed,14949,49350955
CHN,SAU,Directed,1453,49308129
SGP,USA,Directed,10913,48663632
IRL,GBR,Directed,6302,47857045
CHN,CAN,Directed,1403,47352190
DEU,ESP,Directed,3516,46737210
MYS,USA,Directed,7500,44312039
THA,SGP,Directed,13620,44042664
DEU,ITA,Directed,3475,44027496
GBR,NLD,Directed,71835,41286570
USA,GBR,Directed,14998,38479889
LKA,USA,Directed,12170,35736808
USA,SGP,Directed,14987,35507175
GBR,DEU,Directed,68059,35390803
DEU,SWE,Directed,3518,34986917
CHN,ESP,Directed,1458,34728855
JPN,CHN,Directed,6582,34159176
SGP,MYS,Directed,10898,34157998
PRT,ESP,Directed,9489,32994276
USA,KOR,Directed,14964,31990730
FRA,USA,Directed,77596,31593635
IDN,JPN,Directed,5936,31281269
FRA,NLD,Directed,71818,30805039
HUN,DEU,Directed,5234,29812638
FRA,ESP,Directed,75022,29639701
KOR,SAU,Directed,9841,29519547
ITA,USA,Directed,77599,29458060
THA,GBR,Directed,13624,29128834
THA,DEU,Directed,13608,29056823
SWE,DNK,Directed,12239,28987929
USA,NLD,Directed,14971,28831069
USA,CHN,Directed,14938,28718503
MYS,JPN,Directed,7487,28691411
PHL,USA,Directed,77606,28380061
USA,AUS,Directed,14926,28079857
ITA,NLD,Directed,71825,27498680
ESP,FRA,Directed,11498,27243971
TUR,DEU,Directed,14538,26322086
CSK,DEU,Directed,68033,26211513
CHN,SWE,Directed,1460,25600567
IDN,DEU,Directed,5935,25436031
CHN,RUS,Directed,1388,25414752
JPN,SGP,Directed,6611,25182567
KOR,DEU,Directed,9879,25141864
DOM,USA,Directed,77595,24845235
ITA,ESP,Directed,75028,24462594
DNK,NLD,Directed,2490,23969128
JPN,MYS,Directed,6594,23813395
VEN,COL,Directed,66531,23326846
CHN,DNK,Directed,1409,22773500
KOR,CAN,Directed,9862,22578750
