Source,Target,Type,Id,Weight
CHN,USA,Directed,8503,12831403135
CHN,JPN,Directed,8408,4313394607
CHN,GBR,Directed,8501,2493695523
USA,MEX,Directed,54349,2368631507
CHN,DEU,Directed,8388,2013392999
USA,CAN,Directed,54301,1820118735
CAN,USA,Directed,6965,1817107111
CHN,FRA,Directed,8382,1264811365
CHN,CAN,Directed,8357,1166913762
MEX,USA,Directed,31489,1165416688
CHN,AUS,Directed,8336,1123244085
CHN,ITA,Directed,8405,1117242827
CHN,ESP,Directed,8481,1093485640
CHN,RUS,Directed,8463,894420185
CHN,ARE,Directed,8492,869494565
DEU,NLD,Directed,18727,867053640
CHN,KOR,Directed,8413,831510568
CHN,NLD,Directed,8440,782689511
DEU,ZAF,Directed,18757,712582158
ITA,FRA,Directed,25268,646148186
DEU,FRA,Directed,18683,645998293
BEL,FRA,Directed,3361,619761937
CHN,BEL,Directed,8343,542760934
DEU,GBR,Directed,18776,521741311
BEL,GBR,Directed,3414,512561964
CHN,MEX,Directed,8431,511368266
NLD,DEU,Directed,31993,480318933
CHN,UKR,Directed,8498,440043560
CHN,SAU,Directed,8469,428390633
DEU,AUT,Directed,18652,420488018
ITA,DEU,Directed,25272,402495661
CHN,PHL,Directed,8456,388650847
BEL,DEU,Directed,3362,383321672
DEU,POL,Directed,18739,371246274
FRA,DEU,Directed,16946,362169036
NLD,BEL,Directed,31972,350602416
CHN,POL,Directed,8457,348728363
CHN,SGP,Directed,8475,346215918
KOR,CHN,Directed,38410,342731011
POL,DEU,Directed,36785,340637521
CHN,BRA,Directed,8348,340560201
CHN,IND,Directed,8474,340556090
GBR,IRL,Directed,52610,334292711
DEU,CZE,Directed,18674,334219432
CHN,PAN,Directed,8452,327591904
BEL,NLD,Directed,3385,326708748
CHN,ZAF,Directed,8479,314239935
DEU,BEL,Directed,18655,312842837
FRA,GBR,Directed,17010,311433716
NLD,GBR,Directed,32051,293168386
CZE,DEU,Directed,13357,292903752
CHN,CHL,Directed,8360,290379763
CHN,TUR,Directed,8494,278121479
CHN,IDN,Directed,8400,277275238
FRA,BEL,Directed,16922,276982751
DEU,CHE,Directed,18762,275919204
FRA,ESP,Directed,16996,272051415
ESP,FRA,Directed,43820,271801652
MYS,GBR,Directed,30571,267156207
ITA,ESP,Directed,25334,264635994
DEU,ITA,Directed,18699,252068855
CHN,DNK,Directed,8372,250255456
JPN,CHN,Directed,27013,249958594
THA,USA,Directed,49286,249055164
VNM,USA,Directed,56591,247853361
CHN,CZE,Directed,8370,240836206
IDN,USA,Directed,23704,238793331
CHN,SWE,Directed,8484,232918403
CHN,THA,Directed,8488,228759867
USA,CHN,Directed,54305,228664022
NLD,FRA,Directed,31991,228488772
THA,JPN,Directed,48620,227990556
FRA,ITA,Directed,16952,224697685
CHN,MYS,Directed,8425,222342414
DEU,ESP,Directed,18758,212708949
CHN,GRC,Directed,8391,211949124
MYS,SGP,Directed,30455,202843294
JPN,ZAF,Directed,27499,197940918
ESP,PRT,Directed,43876,195125847
KOR,USA,Directed,39239,188398730
IDN,JPN,Directed,23678,187182507
ITA,GBR,Directed,25348,184932464
CHE,DEU,Directed,46953,180539007
TUR,DEU,Directed,50133,179950041
DEU,USA,Directed,18778,179416298
CHN,VNM,Directed,8477,170720829
AUT,DEU,Directed,1785,170521529
IRL,GBR,Directed,24799,167646106
CHN,NZL,Directed,8444,167061530
CHN,ROU,Directed,8462,166754323
USA,JPN,Directed,54338,161835531
FRA,NLD,Directed,16972,156629745
CHN,NOR,Directed,8448,153806417
USA,GBR,Directed,54390,152362823
