id,lon,lat,name
188,31.465866,-26.522503,Swaziland
122,18.643501,60.128161,Sweden
123,8.227512,46.818188,Switzerland
148,38.996815,34.802075,Syria
140,71.276093,38.861034,Tajikistan
124,21.745275,41.608635,TFYR of Macedonia
125,100.992541,15.870032,Thailand
173,125.727539,-8.874217,Timor-Leste
126,0.824782,8.619543,Togo
168,-175.198242,-21.178986,Tonga
127,-61.222503,10.691803,Trinidad and Tobago
128,9.537499,33.886917,Tunisia
129,35.243322,38.963745,Turkey
190,59.556278,38.969719,Turkmenistan
201,-71.797928,21.694025,Turks and Caicos Isds
159,177.64933,-7.109535,Tuvalu
130,32.290275,1.373333,Uganda
131,31.16558,48.379433,Ukraine
132,53.847818,23.424076,United Arab Emirates
133,-3.435973,55.378051,United Kingdom
134,34.888822,-6.369028,United Rep. of Tanzania
135,-55.765835,-32.522779,Uruguay
136,-95.712891,37.09024,USA
160,64.585262,41.377491,Uzbekistan
169,166.959158,-15.376706,Vanuatu
161,-66.58973,6.42375,Venezuela
142,108.277199,14.058324,Viet Nam
137,48.516388,15.552727,Yemen
138,27.849332,-13.133897,Zambia
139,29.154857,-19.015438,Zimbabwe
