KOR,KOR,92,183,275,886534831,8951808362,9838343193,2,0.008492,0.283114
DEU,DEU,115,205,320,3937892451,7759784164,11697676615,3,0.012326,0.235851
CHN,CHN,109,198,307,21244650461,7710271304,28954921765,2,0.011564,0.254038
MYS,MYS,76,142,218,855179544,7641977901,8497157445,2,0.007128,0.37651
USA,USA,128,195,323,5546839251,6843995543,12390834794,0,0.016173,0.252434
ITA,ITA,109,187,296,2459850726,4570799781,7030650507,3,0.012212,0.268283
THA,THA,85,182,267,721108831,4279198629,5000307460,2,0.009538,0.279583
JPN,JPN,72,175,247,1179318198,3842427556,5021745754,2,0.0061,0.303214
BEL,BEL,86,169,255,1817682331,2545450967,4363133298,3,0.007684,0.319359
FRA,FRA,131,183,314,3508244172,2276825395,5785069567,3,0.018107,0.268035
IDN,IDN,77,181,258,649023991,2073984510,2723008501,2,0.007316,0.280025
CAN,CAN,112,153,265,2086643390,1960369354,4047012744,0,0.012843,0.330228
GBR,GBR,106,184,290,3195747329,1900259620,5096006949,3,0.011184,0.28172
NLD,NLD,85,176,261,1712204084,1730899585,3443103669,3,0.007183,0.306656
ESP,ESP,108,167,275,1857597166,1396879513,3254476679,3,0.010577,0.331758
IND,IND,103,183,286,656370670,1102289084,1758659754,1,0.010189,0.278449
TUR,TUR,88,151,239,1346017584,946273538,2292291122,1,0.0088,0.36855
MEX,MEX,81,107,188,1827781318,791727681,2619508999,0,0.007918,0.496252
AUT,AUT,105,158,263,660023181,762093785,1422116966,3,0.012796,0.312913
SWE,SWE,73,147,220,516111629,638890624,1155002253,3,0.006201,0.382278
CHE,CHE,81,156,237,660367017,593160864,1253527881,3,0.007884,0.349096
CZE,CZE,81,125,206,860095368,529054618,1389149986,3,0.007,0.439163
POL,POL,68,97,165,1268300262,511170416,1779470678,3,0.004803,0.571442
LUX,LUX,42,108,150,140307035,484000569,624307604,3,0.002827,0.542575
DNK,DNK,78,162,240,509522431,469920726,979443157,3,0.006357,0.331999
PRT,PRT,74,136,210,469929072,428962034,898891106,3,0.00688,0.405533
IRL,IRL,78,108,186,411656414,410893860,822550274,3,0.007474,0.506779
ISR,ISR,59,118,177,224663319,405194901,629858220,1,0.003918,0.45415
SAU,SAU,71,107,178,472641536,371792318,844433854,1,0.006082,0.503082
FIN,FIN,67,122,189,282174857,365379911,647554768,3,0.005217,0.483007
SGP,SGP,71,145,216,524783447,355852805,880636252,2,0.006121,0.385441
BRA,BRA,76,142,218,601819269,337797070,939616339,1,0.006484,0.393056
HUN,HUN,78,99,177,368855425,313442621,682298046,3,0.007699,0.527098
SVK,SVK,72,87,159,246986751,283649341,530636092,3,0.005415,0.625143
BLR,BLR,64,61,125,125841388,266303652,392145040,3,0.004401,0.666667
GRC,GRC,74,112,186,477943371,258568638,736512009,3,0.005397,0.499779
PAK,PAK,84,147,231,267655674,233277089,500932763,1,0.008856,0.34424
PHL,PHL,75,108,183,1025494276,213690457,1239184733,2,0.008033,0.426763
ARG,ARG,62,90,152,260308693,201047467,461356160,1,0.004543,0.583763
ZAF,ZAF,105,149,254,334027492,193326184,527353676,1,0.012257,0.349876
AUS,AUS,80,135,215,750598972,188133687,938732659,1,0.007801,0.384802
SVN,SVN,76,95,171,164986809,178530427,343517236,3,0.006207,0.559093
COL,COL,66,76,142,214247396,170177604,384425000,1,0.006381,0.578658
RUS,RUS,90,108,198,1209210091,167362037,1376572128,3,0.00796,0.483407
ARE,ARE,81,146,227,622355728,162119189,784474917,1,0.008051,0.364738
NOR,NOR,74,105,179,239925427,133763892,373689319,3,0.005469,0.539058
VNM,VNM,80,110,190,1031590271,110422432,1142012703,2,0.007744,0.495799
LTU,LTU,64,70,134,217433754,90175562,307609316,3,0.00415,0.658276
ROU,ROU,74,83,157,404417625,86871690,491289315,3,0.005178,0.600193
SYR,SYR,54,97,151,381645331,69892099,451537430,1,0.003824,0.47371
CRI,CRI,67,64,131,97377100,68566526,165943626,1,0.008322,0.608964
KEN,KEN,67,60,127,91496766,65458017,156954783,1,0.006029,0.493986
NPL,NPL,36,21,57,187000983,65289730,252290713,1,0.002612,0.893728
PER,PER,66,59,125,123749277,63987249,187736526,1,0.004936,0.65
BGR,BGR,73,107,180,169511448,62687110,232198558,1,0.005846,0.501528
IRN,IRN,60,79,139,549850690,53620191,603470881,1,0.005127,0.569205
UKR,UKR,76,96,172,398317247,52256821,450574068,3,0.006253,0.496139
NZL,NZL,68,89,157,180164288,51576248,231740536,1,0.00545,0.480676
GTM,GTM,65,33,98,127410556,48106276,175516832,1,0.005923,0.665838
EGY,EGY,72,88,160,419114167,41911448,461025615,1,0.006196,0.53174
HRV,HRV,71,51,122,151842209,41887856,193730065,3,0.006647,0.689506
SCG,SCG,45,46,91,46462745,40754483,87217228,3,0.003223,0.788136
ECU,ECU,62,52,114,93662167,35368134,129030301,1,0.00465,0.651762
LVA,LVA,57,63,120,103857850,34559790,138417640,3,0.003702,0.697339
VEN,VEN,61,56,117,95710102,31688175,127398277,1,0.005876,0.613509
LKA,LKA,69,81,150,433080006,29649762,462729768,1,0.006649,0.564165
CHL,CHL,64,64,128,241313517,26541893,267855410,1,0.004671,0.634734
JOR,JOR,65,62,127,162149701,25114361,187264062,1,0.005272,0.643574
TUN,TUN,75,63,138,140000666,21953982,161954648,1,0.006599,0.551316
DOM,DOM,61,54,115,95611343,21424350,117035693,0,0.00579,0.564082
BHR,BHR,63,42,105,36230982,19823055,56054037,1,0.004916,0.681414
KWT,KWT,57,37,94,59903510,19569817,79473327,1,0.003842,0.770692
