USA,USA,72,114,186,865806544,4313811872,5179618416,0,0.021225,0.169835
JPN,JPN,26,40,66,19153251,3225979951,3245133202,0,0.007194,0.478261
DEU,DEU,71,80,151,1038760035,3158513488,4197273523,4,0.017459,0.271429
GBR,GBR,54,88,142,222292069,1517350355,1739642424,0,0.013985,0.238271
MEX,MEX,25,36,61,74263489,1415780202,1490043691,0,0.005728,0.471545
BEL,BEL,58,72,130,394879794,1320292541,1715172335,0,0.015432,0.338517
FRA,FRA,46,74,120,238889931,1036703410,1275593341,4,0.012593,0.279747
NLD,NLD,57,68,125,1023389729,875453704,1898843433,0,0.012536,0.321599
THA,THA,51,58,109,173205482,868151683,1041357165,0,0.014744,0.296842
CAN,CAN,45,53,98,387747139,752581166,1140328305,0,0.012538,0.300702
MYS,MYS,66,37,103,439517316,670101075,1109618391,0,0.019386,0.285885
ESP,ESP,61,79,140,152697528,651279317,803976845,0,0.016866,0.264957
AUS,AUS,33,33,66,23242325,545438356,568680681,0,0.011811,0.384082
KOR,KOR,50,46,96,216822911,501140290,717963201,0,0.013235,0.323161
ITA,ITA,63,81,144,392977353,441624095,834601448,0,0.014194,0.280771
PHL,PHL,23,21,44,7293125,413709058,421002183,0,0.00615,0.509804
IDN,IDN,39,47,86,264102399,405818589,669920988,0,0.010948,0.341029
VNM,VNM,67,29,96,301662811,340147595,641810406,0,0.018027,0.309979
AUT,AUT,51,52,103,376880160,333153178,710033338,4,0.012455,0.382353
POL,POL,45,46,91,142211633,320331275,462542908,4,0.009622,0.464599
CHN,CHN,140,117,257,17785837216,275380713,18061217929,0,0.056918,0.117889
NOR,NOR,21,32,53,15468148,271416731,286884879,4,0.004678,0.652101
SVN,SVN,29,34,63,148788678,239016581,387805259,0,0.006839,0.510042
CHE,CHE,34,45,79,46170267,207877644,254047911,4,0.007712,0.44095
SWE,SWE,25,42,67,217745279,194126912,411872191,4,0.005734,0.572464
CZE,CZE,28,38,66,252116722,191935602,444052324,4,0.006158,0.593496
MAC,MAC,2,1,3,851764,161915673,162767437,0,0.001448,1
SGP,SGP,39,31,70,20388669,151649288,172037957,0,0.009428,0.400581
SAU,SAU,19,36,55,18640126,147313608,165953734,0,0.005873,0.435216
DNK,DNK,37,48,85,64756768,141339561,206096329,4,0.009547,0.460606
PRT,PRT,24,41,65,95943624,133297661,229241285,0,0.0063,0.499517
IRL,IRL,26,33,59,159382400,127086174,286468574,0,0.006164,0.521041
SVK,SVK,32,30,62,85017323,91414216,176431539,4,0.007764,0.618065
PAK,PAK,40,31,71,83105785,91061832,174167617,0,0.011312,0.455102
NZL,NZL,27,19,46,10433794,85678753,96112547,0,0.005946,0.473724
ARE,ARE,46,50,96,30929156,83156714,114085870,0,0.014991,0.257629
GRC,GRC,28,33,61,17507601,81734373,99241974,1,0.006272,0.544715
ROU,ROU,26,29,55,63905783,74847454,138753237,4,0.005756,0.592063
ECU,ECU,26,13,39,3978325,73238691,77217016,0,0.006188,0.557882
TUN,TUN,18,23,41,6340348,61688743,68029091,0,0.006086,0.583333
TUR,TUR,61,66,127,155459953,56074994,211534947,1,0.016735,0.268829
ZAF,ZAF,29,39,68,14057478,55493568,69551046,0,0.010307,0.330674
DOM,DOM,15,22,37,6285233,53563282,59848515,0,0.003799,0.498677
BGD,BGD,19,14,33,8942835,53360987,62303822,0,0.005759,0.733696
FIN,FIN,18,36,54,2691483,52627006,55318489,0,0.004413,0.602102
