,0,1
0,0.004385965,0.234601061
1,0.00877193,0.408305324
2,0.013157895,0.484879346
3,0.01754386,0.543509502
4,0.021929825,0.586222724
5,0.026315789,0.607528891
6,0.030701754,0.626443108
7,0.035087719,0.644988329
8,0.039473684,0.66337345
9,0.043859649,0.68148547
10,0.048245614,0.698867185
11,0.052631579,0.715475925
12,0.057017544,0.731462349
13,0.061403509,0.746679781
14,0.065789474,0.76118756
15,0.070175439,0.77527907
16,0.074561404,0.786933751
17,0.078947368,0.796055553
18,0.083333333,0.804355384
19,0.087719298,0.811639428
20,0.092105263,0.818888246
21,0.096491228,0.825934943
22,0.100877193,0.832573505
23,0.105263158,0.838596573
24,0.109649123,0.844511428
25,0.114035088,0.850401296
26,0.118421053,0.855713384
27,0.122807018,0.860598825
28,0.127192982,0.865459325
29,0.131578947,0.869826153
30,0.135964912,0.874107939
31,0.140350877,0.878230509
32,0.144736842,0.88233289
33,0.149122807,0.886402084
34,0.153508772,0.890355694
35,0.157894737,0.89426917
36,0.162280702,0.898062141
37,0.166666667,0.90177871
38,0.171052632,0.905470765
39,0.175438596,0.90911654
40,0.179824561,0.912487231
41,0.184210526,0.915853114
42,0.188596491,0.918845586
43,0.192982456,0.921783487
44,0.197368421,0.924662703
45,0.201754386,0.927369652
46,0.206140351,0.929767152
47,0.210526316,0.931959114
48,0.214912281,0.934097137
49,0.219298246,0.936200621
50,0.223684211,0.938257159
51,0.228070175,0.940235919
52,0.23245614,0.942209428
53,0.236842105,0.944176416
54,0.24122807,0.946111826
55,0.245614035,0.948035721
56,0.25,0.949849171
57,0.254385965,0.951433871
58,0.25877193,0.952967348
59,0.263157895,0.954457724
60,0.26754386,0.955913653
61,0.271929825,0.957323574
62,0.276315789,0.958717183
63,0.280701754,0.960091339
64,0.285087719,0.961442867
65,0.289473684,0.962772452
66,0.293859649,0.964053244
67,0.298245614,0.965300436
68,0.302631579,0.966410765
69,0.307017544,0.96743333
70,0.311403509,0.968429833
71,0.315789474,0.969393514
72,0.320175439,0.970329546
73,0.324561404,0.971260189
74,0.328947368,0.972173571
75,0.333333333,0.973086127
76,0.337719298,0.973967717
77,0.342105263,0.97482271
78,0.346491228,0.975658304
79,0.350877193,0.97647129
80,0.355263158,0.977269402
81,0.359649123,0.977998712
82,0.364035088,0.978694465
83,0.368421053,0.979352284
84,0.372807018,0.980008388
85,0.377192982,0.980639909
86,0.381578947,0.981270127
87,0.385964912,0.981893998
88,0.390350877,0.982507341
89,0.394736842,0.983110866
90,0.399122807,0.983706761
91,0.403508772,0.984293316
92,0.407894737,0.98487963
93,0.412280702,0.98544939
94,0.416666667,0.985993263
95,0.421052632,0.986534258
96,0.425438596,0.987071256
97,0.429824561,0.987604658
98,0.434210526,0.988137219
99,0.438596491,0.988653064
100,0.442982456,0.989135516
101,0.447368421,0.989554409
102,0.451754386,0.989951785
103,0.456140351,0.990334947
104,0.460526316,0.990700465
105,0.464912281,0.991044598
106,0.469298246,0.991377886
107,0.473684211,0.99170968
108,0.478070175,0.992037863
109,0.48245614,0.99236269
110,0.486842105,0.992685389
111,0.49122807,0.993007113
112,0.495614035,0.993317874
113,0.5,0.993617952
114,0.504385965,0.993897718
115,0.50877193,0.994146768
116,0.513157895,0.99438295
117,0.51754386,0.994615306
118,0.521929825,0.994840301
119,0.526315789,0.995031988
120,0.530701754,0.995220983
121,0.535087719,0.995405146
122,0.539473684,0.995586568
123,0.543859649,0.995763407
124,0.548245614,0.995938286
125,0.552631579,0.996112807
126,0.557017544,0.996282492
127,0.561403509,0.996449319
128,0.565789474,0.996610036
129,0.570175439,0.996768806
130,0.574561404,0.996923438
131,0.578947368,0.997077727
132,0.583333333,0.997213
133,0.587719298,0.997347939
134,0.592105263,0.99748067
135,0.596491228,0.99761115
136,0.600877193,0.997728931
137,0.605263158,0.997844216
138,0.609649123,0.997955773
139,0.614035088,0.998065848
140,0.618421053,0.99817451
141,0.622807018,0.998281711
142,0.627192982,0.998385765
143,0.631578947,0.998482338
144,0.635964912,0.998575162
145,0.640350877,0.998664668
146,0.644736842,0.998750226
147,0.649122807,0.998830294
148,0.653508772,0.998908093
149,0.657894737,0.998984042
150,0.662280702,0.999049818
151,0.666666667,0.999107798
152,0.671052632,0.999160046
153,0.675438596,0.999211937
154,0.679824561,0.999256683
155,0.684210526,0.999301344
156,0.688596491,0.999345424
157,0.692982456,0.999386605
158,0.697368421,0.999425934
159,0.701754386,0.999462984
160,0.706140351,0.999493642
161,0.710526316,0.999523199
162,0.714912281,0.999552313
163,0.719298246,0.99957828
164,0.723684211,0.999602941
165,0.728070175,0.999625086
166,0.73245614,0.999646954
167,0.736842105,0.999668665
168,0.74122807,0.999689475
169,0.745614035,0.999710017
170,0.75,0.999728607
171,0.754385965,0.999747073
172,0.75877193,0.999765184
173,0.763157895,0.999781847
174,0.76754386,0.999797027
175,0.771929825,0.999812002
176,0.776315789,0.999824934
177,0.780701754,0.999837613
178,0.785087719,0.999850148
179,0.789473684,0.99986181
180,0.793859649,0.999871154
181,0.798245614,0.999879703
182,0.802631579,0.999888182
183,0.807017544,0.999896342
184,0.811403509,0.999904403
185,0.815789474,0.999911372
186,0.820175439,0.999918319
187,0.824561404,0.999924963
188,0.828947368,0.999931046
189,0.833333333,0.999936947
190,0.837719298,0.999942293
191,0.842105263,0.999947322
192,0.846491228,0.999952024
193,0.850877193,0.999956627
194,0.855263158,0.999961021
195,0.859649123,0.99996535
196,0.864035088,0.999968496
197,0.868421053,0.9999714
198,0.872807018,0.999974287
199,0.877192982,0.999977088
