Source,Target,Type,Id,Weight
CHN,USA,Directed,8571,4838645708
CHN,VNM,Directed,8222,2644608376
USA,MEX,Directed,48200,2305857716
USA,CAN,Directed,47597,1971710134
KOR,CHN,Directed,123545,1807091142
CHN,IDN,Directed,7233,1613552846
CAN,USA,Directed,6077,1594209730
JPN,CHN,Directed,123535,1375696078
CHN,IND,Directed,8163,1265933069
USA,CHN,Directed,123919,1205232305
CHN,KOR,Directed,7416,1101245841
CHN,BRA,Directed,6542,1036313065
CHN,TUR,Directed,8458,1009975792
ITA,DEU,Directed,22060,971738231
CHN,EGY,Directed,127883,949804386
DEU,POL,Directed,16130,882633894
DEU,FRA,Directed,130163,860927279
KOR,USA,Directed,188172,840183413
CHN,MEX,Directed,7650,838820609
CHN,JPN,Directed,75757,813819636
CHN,PAK,Directed,7894,789943165
MEX,USA,Directed,26348,774905803
CHN,PHL,Directed,7968,751275498
CHN,THA,Directed,8373,746628724
CHN,DEU,Directed,131327,736850266
CHN,BGD,Directed,6452,722529220
DEU,NLD,Directed,15974,708882216
CHN,RUS,Directed,151159,704962181
ITA,FRA,Directed,22008,703498038
DEU,GBR,Directed,162524,675093242
DEU,ITA,Directed,15666,657760324
BLR,RUS,Directed,151133,656345256
BEL,DEU,Directed,2901,627351032
KOR,VNM,Directed,64979,624394630
CHN,MYS,Directed,7571,620778373
CHN,CAN,Directed,6671,602342971
CHN,KHM,Directed,97871,552105044
BEL,FRA,Directed,2866,542493148
DEU,BEL,Directed,118578,536497179
POL,DEU,Directed,30502,523261173
CHN,GBR,Directed,8540,512831785
DEU,AUT,Directed,116617,511365909
DEU,CZE,Directed,126141,486083085
CHN,IRN,Directed,135486,483853286
IND,TUR,Directed,160880,482115714
DEU,CHE,Directed,158237,449890061
CHN,ARE,Directed,187123,449031481
CHN,NGA,Directed,53242,448388787
ESP,FRA,Directed,38490,444781586
CHN,ITA,Directed,7294,435000002
CHN,AUS,Directed,6408,427088608
IND,USA,Directed,58867,417785222
KOR,JPN,Directed,32740,414357595
NLD,DEU,Directed,27223,413646610
IND,BRA,Directed,18493,410204960
NLD,BEL,Directed,118755,404972404
ARE,IRN,Directed,70228,380955317
PRT,ESP,Directed,31955,375701550
AUT,DEU,Directed,1228,371937249
CHN,NLD,Directed,7767,370529529
BEL,NLD,Directed,3295,365671892
CHN,ZAF,Directed,8258,364842577
ITA,ESP,Directed,156166,362571038
CHN,ESP,Directed,155981,350307681
THA,CHN,Directed,169444,347487798
CHN,FRA,Directed,130061,346595781
CHN,SAU,Directed,8098,341283580
CHN,MMR,Directed,6595,339063818
FRA,DEU,Directed,13844,336088098
MYS,TUR,Directed,61900,327057872
DEU,ESP,Directed,16360,319902331
CZE,DEU,Directed,9997,317558511
MYS,JPN,Directed,25575,316391640
CHN,BEL,Directed,6489,311406209
DEU,USA,Directed,163807,302989513
CHN,COL,Directed,6738,296085312
CHN,POL,Directed,7980,294781775
BEL,GBR,Directed,3779,293126366
DEU,CHN,Directed,123441,292515683
IDN,TUR,Directed,20414,284885586
THA,IDN,Directed,42182,284103057
FRA,BEL,Directed,118565,279576118
USA,DEU,Directed,47866,263944635
THA,VNM,Directed,68695,258011148
DEU,TUR,Directed,160603,257469610
THA,JPN,Directed,137766,254433201
IDN,JPN,Directed,137569,254045735
USA,GBR,Directed,48773,251195259
CHN,LKA,Directed,209189,242971907
JPN,KOR,Directed,23608,242169639
ITA,GBR,Directed,162611,240628678
KOR,TUR,Directed,33290,238488696
CHN,PER,Directed,147352,234953119
ESP,PRT,Directed,39088,231229361
FRA,ITA,Directed,136693,230609445
CHN,CHL,Directed,6724,229939706
CHE,DEU,Directed,131827,226804079
DEU,RUS,Directed,16183,226447597
ITA,POL,Directed,22637,226245276
TUR,GBR,Directed,162945,225741073
GBR,DEU,Directed,46325,222626591
ITA,BEL,Directed,118649,221583180
PRT,FRA,Directed,31480,220673885
FRA,ESP,Directed,156079,220462636
MYS,IDN,Directed,25536,218060476
FRA,GBR,Directed,14796,206533496
DEU,HUN,Directed,133716,206180367
KOR,IDN,Directed,64657,202190762
CHN,DZA,Directed,51851,199754474
RUS,KAZ,Directed,34369,198994949
CHN,UZB,Directed,231718,198481683
GBR,IRL,Directed,46455,193439545
KOR,DEU,Directed,172942,193295880
DEU,ROU,Directed,150664,189811397
IRN,IRQ,Directed,20540,189122380
VNM,CHN,Directed,123776,188784604
USA,JPN,Directed,48045,188049277
TUR,ITA,Directed,137174,184244017
RUS,BLR,Directed,118289,182279494
CHN,ISR,Directed,52706,181400590
NLD,FRA,Directed,130416,180877827
CHN,ARG,Directed,97695,178653765
CHN,UKR,Directed,161294,177064324
DEU,DNK,Directed,15347,176673917
IRL,GBR,Directed,187554,172656716
ESP,DEU,Directed,38517,172293481
ITA,AUT,Directed,21582,168524036
JPN,USA,Directed,163910,166832853
ITA,NLD,Directed,22517,166548214
GBR,FRA,Directed,46310,165441153
BEL,ITA,Directed,136538,164758513
CHN,SGP,Directed,8182,163836452
ESP,ITA,Directed,137084,162599616
MYS,AUS,Directed,116159,160706320
CHN,MAR,Directed,223489,159488107
CHN,KGZ,Directed,200503,159221818
TUR,IRN,Directed,92544,156960651
CHN,PRK,Directed,7407,156621017
DEU,SWE,Directed,157676,156573354
CZE,POL,Directed,10357,155848081
