Source,Target,Type,Id,Weight
KOR,CHN,Directed,107307,2612458738
CHN,USA,Directed,7841,2023353205
JPN,CHN,Directed,107264,1857692600
USA,MEX,Directed,42826,1718160864
USA,CAN,Directed,42206,1671569319
CHN,VNM,Directed,7487,1551042995
CAN,USA,Directed,5558,1408023044
USA,CHN,Directed,107642,1279054128
NGA,ATG,Directed,55449,976680838
DEU,FRA,Directed,13449,900222034
CHN,IDN,Directed,6594,857578965
ITA,DEU,Directed,19168,855627838
CHN,IND,Directed,7441,818293184
DEU,NLD,Directed,126170,816540250
DEU,POL,Directed,14017,773239594
ITA,FRA,Directed,19143,708649078
CHN,KOR,Directed,6788,692269022
MEX,BEL,Directed,54486,678398045
CHN,PAK,Directed,7202,673548223
CHN,RUS,Directed,132620,667669030
CHN,BRA,Directed,104274,664973081
CHN,KHM,Directed,170034,639673630
CHN,TUR,Directed,7720,629338188
BEL,FRA,Directed,2560,601323519
DEU,ITA,Directed,13615,600184634
BEL,DEU,Directed,2589,591873659
DEU,GBR,Directed,142489,586495533
CHN,JPN,Directed,6700,572096715
NLD,DEU,Directed,24691,566691221
KOR,USA,Directed,57369,560578932
CHN,BGD,Directed,5919,552086497
MEX,USA,Directed,23978,536123140
CHN,PHL,Directed,7276,507043695
CHN,THA,Directed,7649,490491716
DEU,CHE,Directed,138603,484254267
DEU,AUT,Directed,100827,461341555
CHN,MEX,Directed,124297,452092440
DEU,CZE,Directed,109170,449501634
DEU,BEL,Directed,13092,435773561
THA,CHN,Directed,107576,414883191
CHN,DEU,Directed,6481,408707156
ITA,ESP,Directed,19941,382956740
NLD,BEL,Directed,24379,375564185
BEL,NLD,Directed,126021,369620257
KOR,JPN,Directed,119953,361993078
ESP,FRA,Directed,113402,341333754
IND,USA,Directed,17064,339684880
CHN,ARE,Directed,47938,334267746
AUT,DEU,Directed,1149,330054453
FRA,DEU,Directed,114328,316393352
CHN,EGY,Directed,7781,316163399
KOR,VNM,Directed,166579,315947656
CHN,MYS,Directed,6928,314953022
DEU,CHN,Directed,107184,314929485
JPN,KOR,Directed,20609,306420858
POL,DEU,Directed,27586,300155637
CHN,ITA,Directed,6669,290213404
CHN,NGA,Directed,7160,288759108
DEU,RUS,Directed,132710,284988593
DEU,NGA,Directed,158271,282340884
KWT,CHN,Directed,21288,277011258
CHN,GBR,Directed,7809,275815611
DEU,ESP,Directed,14220,267959110
CHN,UKR,Directed,165009,264780567
CHN,ZAF,Directed,7529,263981555
CHN,AUS,Directed,100250,260558980
CHN,LKA,Directed,66403,259671436
PRT,ESP,Directed,28625,258229048
ITA,GBR,Directed,142560,255690707
CHN,IRN,Directed,118019,255435717
CZE,DEU,Directed,8783,250937111
BEL,GBR,Directed,3378,249448333
FRA,BEL,Directed,102796,248944485
MYS,JPN,Directed,119971,245589650
CHN,CAN,Directed,6090,243005176
CHE,DEU,Directed,114645,242338850
THA,VNM,Directed,166633,239840555
DEU,TUR,Directed,140789,237516068
CHN,KGZ,Directed,86416,234357491
CHN,SAU,Directed,47651,232543132
MYS,CHN,Directed,107338,230794723
IND,BRA,Directed,104552,224117552
DEU,USA,Directed,14432,220467795
GBR,DEU,Directed,40985,210412618
NLD,FRA,Directed,24658,206750088
IND,TUR,Directed,16974,198427758
FRA,ESP,Directed,12661,197135854
CHN,FRA,Directed,6402,193811156
TUR,RUS,Directed,133055,192335803
FRA,GBR,Directed,142479,191315007
NGA,DEU,Directed,55459,190751321
CHN,ARG,Directed,85734,190035551
FRA,ITA,Directed,119129,187634728
ITA,NLD,Directed,126235,187109573
THA,JPN,Directed,120084,186656480
ITA,BEL,Directed,102872,186455721
THA,BGD,Directed,146878,182770947
VNM,TUR,Directed,141079,182251645
IDN,JPN,Directed,17354,180576465
ESP,PRT,Directed,131106,176314179
RUS,KAZ,Directed,120644,176084166
IDN,CHN,Directed,107210,175760914
DEU,DNK,Directed,109713,175348334
CHN,BEL,Directed,5949,173845163
CHN,CHL,Directed,85944,173593978
KOR,DEU,Directed,152952,173230311
ITA,POL,Directed,19706,172656436
CHN,NLD,Directed,7083,171901666
CHN,JOR,Directed,6735,169616228
JPN,USA,Directed,143789,168776428
THA,IDN,Directed,37400,166289613
CHN,ESP,Directed,7546,163398843
CHN,COL,Directed,6164,163333208
KOR,RUS,Directed,160819,162600778
ESP,DEU,Directed,34205,162464542
BLR,RUS,Directed,2142,160508472
CHN,SGP,Directed,7455,160502393
USA,GBR,Directed,43356,159733589
ESP,ITA,Directed,34357,159217920
GBR,IRL,Directed,41110,157387502
CHN,PER,Directed,159034,156996519
GBR,FRA,Directed,40959,156660016
BEL,ITA,Directed,118974,155629573
IDN,TUR,Directed,17662,151888107
DEU,SWE,Directed,138145,147308683
IND,EGY,Directed,17010,146913648
CHN,DZA,Directed,98745,145255770
ARG,BRA,Directed,104198,144815250
DEU,HUN,Directed,116273,144250667
DEU,ROU,Directed,14059,143048667
ITA,AUT,Directed,18762,142677398
NLD,GBR,Directed,142656,142623041
USA,DEU,Directed,114738,142519679
IRL,GBR,Directed,165462,141651481
BRA,ARG,Directed,99515,141261035
IND,ARE,Directed,16949,140657705
LUX,FRA,Directed,113164,140427086
PRT,FRA,Directed,28295,140333531
IDN,BRA,Directed,72411,138284905
ITA,CHE,Directed,138681,135342419
ITA,CHN,Directed,107256,133631389
