Source,Target,Type,Id,Weight
IND,DEU,Directed,142580,46139177
CHN,SYR,Directed,128978,46055350
FRA,TUR,Directed,9222,46017803
KOR,PAK,Directed,51880,45797307
NLD,SVK,Directed,125639,45532478
NLD,DNK,Directed,102448,45414371
CHN,ARG,Directed,93453,45380577
TUR,SYR,Directed,33598,44814150
DNK,POL,Directed,63875,44771250
THA,ARE,Directed,132189,44535081
CHE,AUT,Directed,30311,44416087
AUS,CHN,Directed,448,43775711
USA,SLV,Directed,103710,43559330
MYS,EGY,Directed,18507,43238400
IDN,DEU,Directed,14626,43159671
DEU,MEX,Directed,147071,43010057
KOR,SAU,Directed,51954,42985216
IND,BGD,Directed,136408,42984989
DEU,EST,Directed,10230,42915863
SWE,NLD,Directed,29986,42836541
SGP,MYS,Directed,26420,42760468
FRA,SVK,Directed,174551,42664913
TUR,FRA,Directed,32905,42536301
IDN,BEL,Directed,46764,42514558
GBR,RUS,Directed,123466,42174568
FRA,TUN,Directed,177009,42159424
IND,BEL,Directed,159026,42009465
BRA,CHL,Directed,3589,41986430
KOR,PHL,Directed,120220,41828364
MYS,PHL,Directed,18353,41668997
THA,PAK,Directed,32041,41588745
MYS,PAK,Directed,18340,41560159
AUT,ESP,Directed,1626,41360732
AUT,ITA,Directed,1247,41301904
AUT,POL,Directed,120385,41283910
KOR,THA,Directed,24485,41235231
DEU,SAU,Directed,10906,41069486
GBR,ROU,Directed,77353,40808462
KOR,SGP,Directed,125193,40802828
DNK,NOR,Directed,118381,40680320
THA,AUS,Directed,31427,40640228
MYS,KOR,Directed,18262,40555550
ITA,PRT,Directed,121165,40486700
MYS,IND,Directed,18394,40417225
CHN,NLD,Directed,117372,40144305
ARE,PAK,Directed,57005,40028410
FIN,NLD,Directed,170299,39730497
BEL,TUR,Directed,2738,39567098
NOR,SWE,Directed,128293,39545738
MEX,COL,Directed,18774,39531876
CHN,PAN,Directed,119429,39073866
SWE,POL,Directed,172172,39031833
KOR,MYS,Directed,114403,38971281
DNK,GBR,Directed,7590,38850916
VNM,THA,Directed,129791,38790330
KOR,POL,Directed,149501,38787170
AUS,NZL,Directed,117560,38777859
JPN,SGP,Directed,125181,38776957
IND,IDN,Directed,45782,38522285
PRT,DEU,Directed,106787,38446642
CHN,KEN,Directed,111763,38277696
USA,ESP,Directed,58558,38211096
CHN,DZA,Directed,92612,37968635
DEU,AUS,Directed,94058,37901476
SGP,IDN,Directed,26338,37885144
USA,IND,Directed,109845,37325224
ITA,TUN,Directed,130316,37306772
IDN,ESP,Directed,127250,37279485
IND,SAU,Directed,124117,37277579
FRA,CHE,Directed,128625,37242785
ARG,CHL,Directed,117,37184829
DEU,JPN,Directed,11017,37138721
KOR,ZAF,Directed,52015,37090011
NPL,IND,Directed,109635,36877672
IND,MAR,Directed,116721,36864939
ISR,GBR,Directed,15561,36825505
USA,THA,Directed,78268,36650186
ITA,SVN,Directed,125997,36603549
DEU,IND,Directed,10911,36515028
JPN,GBR,Directed,16436,36416490
KOR,CHL,Directed,51517,36394917
DEU,LUX,Directed,10859,36348049
JPN,IRN,Directed,48345,36217354
COL,VEN,Directed,134218,36209338
MYS,USA,Directed,18521,36159267
CHE,ITA,Directed,30644,36114710
POL,FRA,Directed,105490,36102636
ITA,HUN,Directed,108832,35949082
FRA,SWE,Directed,9215,35938966
USA,IDN,Directed,58447,35757554
GBR,DNK,Directed,102615,35731747
IND,CHN,Directed,139065,35728143
BEL,SWE,Directed,2731,35665735
ESP,MEX,Directed,115979,35252115
JPN,FRA,Directed,105631,35113892
IDN,ARG,Directed,14600,35112380
ARE,BEL,Directed,96598,34910164
HUN,DEU,Directed,12645,34767982
SVK,POL,Directed,26934,34633160
CHN,GTM,Directed,41552,34542240
TUR,NLD,Directed,33293,34327310
KOR,BGD,Directed,136374,34203860
TUR,AZE,Directed,32631,34174389
SAU,QAT,Directed,121607,34172694
CHN,MUS,Directed,115130,34125626
JPN,PHL,Directed,16211,34111684
DEU,SRB,Directed,10296,33680293
POL,BLR,Directed,96058,33677557
ITA,DNK,Directed,102386,33616623
FRA,AUT,Directed,9370,33601115
AUT,GBR,Directed,132455,33546884
CZE,UKR,Directed,6867,33482909
GRC,BGR,Directed,11906,33230372
VNM,USA,Directed,156632,33224802
CHN,NGA,Directed,148280,33218754
USA,ITA,Directed,58521,32668192
BLR,UKR,Directed,38704,32544557
CHN,ISR,Directed,41559,32536187
SYR,ARE,Directed,31267,32488939
HUN,SVK,Directed,125557,32461212
FRA,ROU,Directed,122549,32430777
BEL,DNK,Directed,2652,32408238
DNK,FRA,Directed,142010,32297596
VNM,GBR,Directed,156025,32109375
PRT,GBR,Directed,178380,32038035
TUR,CHN,Directed,139032,31934723
IDN,PHL,Directed,14490,31910380
CZE,GBR,Directed,178327,31849832
KOR,FRA,Directed,23869,31838894
DNK,NLD,Directed,7341,31785927
HUN,POL,Directed,120581,31679438
AUT,HUN,Directed,108673,31676496
ITA,SWE,Directed,128212,31611375
ARE,TZA,Directed,57216,31438641
LUX,GBR,Directed,132486,31208755
GRC,ROU,Directed,12143,31160666
POL,GBR,Directed,132497,31119831
BEL,PRT,Directed,2832,30931155
VNM,KOR,Directed,58884,30898495
ARE,DZA,Directed,56616,30808437
RUS,IND,Directed,25399,30739998
BEL,LUX,Directed,2689,30697988
AUT,SVN,Directed,125821,30605263
CZE,NLD,Directed,6631,30594874
POL,SVK,Directed,125668,30561122
IDN,GBR,Directed,132638,30547709
FIN,GBR,Directed,8837,30483695
MYS,RUS,Directed,18377,30416904
NLD,PRT,Directed,121234,30093857
ARE,KEN,Directed,56889,30037402
FIN,FRA,Directed,105462,30034095
THA,EGY,Directed,103397,29803972
LTU,RUS,Directed,123242,29539322
ISR,RUS,Directed,123169,29511741
MEX,CAN,Directed,99617,29465232
IDN,AUS,Directed,14428,29405081
AUT,ROU,Directed,122432,29369467
ITA,BGR,Directed,98376,29271241
THA,KOR,Directed,75774,29170624
IND,ESP,Directed,13983,29143970
USA,ARG,Directed,36695,29040784
CHN,ROU,Directed,122488,28978615
ESP,CHN,Directed,28605,28840041
ROU,DEU,Directed,52250,28760038
FRA,MAR,Directed,116558,28695617
IDN,SAU,Directed,14781,28647698
KOR,EGY,Directed,24559,28613540
CHN,COL,Directed,41535,28548290
ARE,EGY,Directed,57197,28423730
GBR,TUR,Directed,131099,28342149
NLD,CHE,Directed,19903,28295434
POL,HUN,Directed,108902,28183674
ESP,TUR,Directed,154966,28169807
CHN,IRN,Directed,40491,28114344
CHE,NLD,Directed,30803,28032158
FIN,NOR,Directed,8665,27968140
SVN,HRV,Directed,27184,27967534
OMN,USA,Directed,21367,27944460
ISR,DEU,Directed,164860,27885655
AUT,NLD,Directed,1423,27732642
USA,TUR,Directed,58479,27664040
HUN,UKR,Directed,131394,27620062
BEL,CHE,Directed,128493,27494862
CHN,NZL,Directed,117613,27353163
POL,EST,Directed,22431,27320815
JPN,IND,Directed,16273,27272726
CHN,TZA,Directed,132913,27249321
NLD,CZE,Directed,19820,27231773
ITA,ISR,Directed,47843,27217659
AUT,SVK,Directed,1581,27205433
CZE,ITA,Directed,6518,27184896
NZL,AUS,Directed,94221,27169449
CZE,BEL,Directed,6273,27155716
BGR,ROU,Directed,4464,27125281
FIN,POL,Directed,120519,26922818
CHE,ESP,Directed,31001,26916238
GBR,AUS,Directed,94388,26858374
JPN,NGA,Directed,148308,26711286
DEU,BRA,Directed,10782,26680787
CZE,AUT,Directed,6248,26636936
TUR,ISR,Directed,33037,26625056
ITA,HRV,Directed,101144,26593566
USA,RUS,Directed,151083,26333877
CHN,MMR,Directed,61797,26328374
AUT,DNK,Directed,1078,26294851
SVN,DEU,Directed,27251,26248472
IDN,BGD,Directed,158646,26133025
BEL,AUT,Directed,2629,26055394
IND,KEN,Directed,167771,26050866
CAN,MEX,Directed,115568,25971302
CHN,GRC,Directed,107512,25880050
CHN,BOL,Directed,159414,25814872
GBR,FIN,Directed,35318,25812312
DEU,ARE,Directed,10928,25694414
SAU,YEM,Directed,134910,25670020
CHE,GBR,Directed,31106,25636492
USA,IRL,Directed,36906,25621142
ZAF,MOZ,Directed,27922,25520956
THA,IRN,Directed,55186,25519471
POL,NLD,Directed,22675,25402910
FRA,DNK,Directed,102317,25384328
USA,VEN,Directed,36420,25383394
IDN,MEX,Directed,115738,25368231
CZE,HUN,Directed,6470,25366603
GBR,AUT,Directed,35628,25178499
NLD,SWE,Directed,19902,25115800
MYS,BGD,Directed,18041,25017280
USA,GTM,Directed,36744,24948955
ROU,ITA,Directed,166762,24918175
SYR,JOR,Directed,31204,24852141
LUX,SVK,Directed,125624,24817476
THA,DEU,Directed,142588,24803955
GRC,USA,Directed,133943,24740905
SYR,EGY,Directed,54889,24720077
FIN,DNK,Directed,8466,24694322
CHN,SLV,Directed,103495,24689170
GRC,ITA,Directed,12035,24582413
LTU,LVA,Directed,17462,24579091
GTM,SLV,Directed,103551,24560140
