Source,Target,Type,ID,Weight
ITA,POL,Directed,5995,390772865
LTU,POL,Directed,6869,315649135
QAT,IND,Directed,5258,385035385
IRN,TUR,Directed,12513,196723363
SAU,IDN,Directed,5479,292283904
USA,ARE,Directed,12874,352867307
MYS,JPN,Directed,7219,352455068
BLR,RUS,Directed,9883,387783199
USA,ITA,Directed,13339,378502725
USA,NGA,Directed,8325,376411394
CHN,UZB,Directed,13502,375384728
SAU,ESP,Directed,11437,368099169
BRA,CHN,Directed,1174,372613885
THA,AUS,Directed,12045,306382207
ITA,TUR,Directed,12521,365569106
HUN,DEU,Directed,4890,352467575
USA,GBR,Directed,13479,367410182
THA,PHL,Directed,8836,358683067
ARE,SAU,Directed,10310,334521398
KOR,ESP,Directed,11428,359373779
CHN,BGD,Directed,1989,180420464
CHE,DEU,Directed,4389,276978287
SAU,KEN,Directed,10217,330296783
ARE,PAK,Directed,8573,294040390
BRA,USA,Directed,1337,356512282
USA,THA,Directed,12254,351562694
DEU,DNK,Directed,3020,343047653
KOR,BEL,Directed,9426,349219660
HUN,ITA,Directed,4906,347813356
RUS,KAZ,Directed,9942,343612714
KOR,BRA,Directed,9433,338430591
USA,DEU,Directed,4416,277318511
SWE,DEU,Directed,11605,333811082
DEU,ROU,Directed,9762,306820432
USA,ESP,Directed,13446,333840871
NLD,SWE,Directed,11661,312875411
IND,TUR,Directed,12509,329690407
SAU,NGA,Directed,10252,332841274
GBR,FRA,Directed,4064,291006236
BEL,USA,Directed,982,308489636
KOR,MYS,Directed,9538,328622642
CHN,MEX,Directed,2135,321618588
CHN,BRA,Directed,2003,326929426
CAN,MEX,Directed,7517,322961582
MEX,CHN,Directed,2136,263419799
GBR,NLD,Directed,8088,278747839
SAU,ZAF,Directed,10283,320215748
EGY,BEL,Directed,805,322851365
SAU,KWT,Directed,6588,213901198
JPN,KOR,Directed,9516,306745234
BEL,LUX,Directed,871,297257426
ITA,CHN,Directed,2097,257055588
ARE,IRN,Directed,12755,158975768
IND,ITA,Directed,5922,314752519
BEL,DNK,Directed,798,309736586
SVK,POL,Directed,10839,311986786
KOR,POL,Directed,8999,309574095
SGP,JPN,Directed,10636,281567584
MYS,PHL,Directed,7276,309534611
IND,BGD,Directed,5073,154559899
BRA,CHL,Directed,1172,301254545
DEU,SVK,Directed,10793,271893434
NLD,LTU,Directed,7977,241587240
MEX,BEL,Directed,884,153103077
CHN,DZA,Directed,1972,151772961
BEL,HUN,Directed,836,270789745
CHN,ARE,Directed,12704,299378201
NLD,AUT,Directed,438,295376878
NLD,CZE,Directed,2885,261961282
CHN,PER,Directed,2170,285569898
CHN,ITA,Directed,2096,298178488
CHN,KAZ,Directed,6372,297232061
RUS,IND,Directed,5265,290589497
BRA,BEL,Directed,762,276881713
CHN,AUS,Directed,1980,257820510
CHN,EGY,Directed,2048,292928486
IND,NPL,Directed,5228,146872186
SGP,AUS,Directed,10550,232168982
ARE,SGP,Directed,12833,286351908
UZB,RUS,Directed,10034,290703273
SAU,KOR,Directed,9590,283979195
CHN,PAK,Directed,2162,287867627
POL,CZE,Directed,8894,280713685
IND,ARE,Directed,12752,283217414
DEU,IND,Directed,5154,275930020
