Source,Target,Type,Id,Weight
SAU,PAK,Directed,7835,187791958
THA,IDN,Directed,10879,189071193
AZE,USA,Directed,636,54749536
KOR,PHL,Directed,8685,187929861
COL,ECU,Directed,2238,181299772
BRA,CHL,Directed,1880,193235830
ITA,BEL,Directed,984,180300624
CHN,KOR,Directed,2140,151289114
DEU,LUX,Directed,6415,186852414
FIN,BEL,Directed,949,187147851
BEL,FIN,Directed,948,184746703
USA,CHL,Directed,12033,182009338
GBR,SGP,Directed,9575,105016613
SAU,JOR,Directed,9155,187670309
USA,ECU,Directed,12055,178027601
BEL,ISR,Directed,5350,167986793
IND,ARE,Directed,4910,159012834
USA,AUS,Directed,11997,184609731
SVN,AUT,Directed,9718,179004910
BEL,USA,Directed,12010,74446858
ARG,CHL,Directed,1872,185917307
ARE,CHN,Directed,2186,135431755
USA,ITA,Directed,12104,172665786
USA,DOM,Directed,12053,165440948
ITA,AUT,Directed,5483,175829770
HUN,DEU,Directed,4555,167873824
CHN,IDN,Directed,2053,122075297
USA,TUR,Directed,11346,156500931
BEL,CHE,Directed,10520,174055293
DEU,MEX,Directed,6936,120333241
FRA,CHE,Directed,3764,175434710
NLD,FIN,Directed,7218,170877381
KOR,TUR,Directed,8727,165772127
ESP,GBR,Directed,10217,166099051
USA,FRA,Directed,12069,159927577
BGD,USA,Directed,763,70130
SAU,KEN,Directed,9157,83141000
SWE,DNK,Directed,2894,154946910
SGP,JPN,Directed,9488,160017507
DEU,IND,Directed,4022,152573769
GRC,TUR,Directed,4346,161486697
USA,THA,Directed,10996,157530001
KOR,AUS,Directed,8548,147520871
NLD,IRL,Directed,7251,159491412
COL,PER,Directed,2280,159947669
SAU,EGY,Directed,3137,134633101
CZE,SVK,Directed,9618,124166681
MYS,THA,Directed,6691,156503772
BLR,RUS,Directed,850,78436866
KOR,EGY,Directed,8594,130252637
ARE,IRN,Directed,5201,153722283
JPN,SGP,Directed,5855,151764477
DEU,PRT,Directed,8335,150036671
NLD,CHE,Directed,10622,149795838
BGR,USA,Directed,12023,26897
BEL,PRT,Directed,1041,140379436
CHN,MEX,Directed,6912,74156633
GBR,TUR,Directed,11343,127289068
CZE,ITA,Directed,2705,142365074
HUN,TUR,Directed,11246,143962540
KWT,THA,Directed,6121,116490624
DEU,KOR,Directed,8611,131713909
NLD,CZE,Directed,2726,134072072
FIN,RUS,Directed,8956,126784320
IND,TUR,Directed,11248,133690834
BEL,CZE,Directed,925,131600325
USA,IND,Directed,4919,128218032
KOR,ZAF,Directed,8706,137860340
CHN,JPN,Directed,2067,108672179
MYS,JPN,Directed,6621,135860246
SVK,DEU,Directed,9632,124458454
ARE,SAU,Directed,11603,90800353
ARE,IND,Directed,11548,96015398
KOR,CHL,Directed,8572,130763843
JPN,BEL,Directed,5743,134459792
FIN,DEU,Directed,3995,127009177
SWE,FRA,Directed,10383,135277316
JPN,PHL,Directed,5838,129154985
FIN,SWE,Directed,10381,131307578
MEX,VEN,Directed,7009,130518967
IND,VNM,Directed,4922,130093907
SAU,FRA,Directed,3741,82496150
KOR,ITA,Directed,8632,127166363
SWE,GBR,Directed,11839,126745975
THA,NGA,Directed,10930,65607801
USA,EGY,Directed,12057,128975187
THA,PHL,Directed,10942,123743393
IDN,MYS,Directed,6614,125917763
SAU,IND,Directed,4873,125247389
GBR,ESP,Directed,10218,115291927
BRA,CHN,Directed,1982,99817297
FRA,ISR,Directed,3664,122374920
SVK,CZE,Directed,9617,128089049
MYS,SGP,Directed,9503,124813483
DEU,BRA,Directed,1300,121260853
JPN,VNM,Directed,12352,126127640
MYS,PHL,Directed,6658,122361042
MYS,VNM,Directed,6707,120972502
