KOR,CHN,Directed,2312,9324060256
JPN,CHN,Directed,2246,6420477545
CAN,USA,Directed,2038,7717557903
USA,CAN,Directed,12912,6047351471
USA,MEX,Directed,7526,5799497753
SGP,CHN,Directed,2325,4006126376
THA,CHN,Directed,2348,3677349787
BEL,DEU,Directed,1061,4806600892
USA,CHN,Directed,2368,3989804583
NLD,DEU,Directed,7792,3752883564
DEU,ITA,Directed,5881,3250572130
BEL,FRA,Directed,1055,3020559834
DEU,FRA,Directed,4293,2845673324
MYS,CHN,Directed,2268,2052176143
FRA,DEU,Directed,3947,2392146150
BEL,ITA,Directed,1086,2267848768
SAU,CHN,Directed,2319,2007466138
DEU,CHN,Directed,2216,1504632587
DEU,BEL,Directed,1062,2034161427
FRA,ITA,Directed,5877,2106842504
NLD,BEL,Directed,1128,1727595346
BEL,GBR,Directed,1200,1764814824
DEU,NLD,Directed,7793,1626854320
DEU,POL,Directed,8864,1458700504
NLD,FRA,Directed,7786,1391622705
SAU,SGP,Directed,9998,1039136945
BEL,NLD,Directed,1127,1312089212
BEL,CHN,Directed,2158,945195849
NLD,GBR,Directed,12670,1292906674
DEU,GBR,Directed,12605,1225787822
DEU,ESP,Directed,10897,1204582809
NLD,ITA,Directed,5942,1182339938
MEX,USA,Directed,7525,1156843113
DEU,AUT,Directed,550,1108051994
ITA,DEU,Directed,5880,1118243527
SGP,MYS,Directed,10309,1057089245
SAU,BEL,Directed,9895,1094240290
FRA,BEL,Directed,1056,982972917
USA,BEL,Directed,12896,1010511173
BEL,ESP,Directed,1177,915433628
IND,CHN,Directed,2232,821057188
ESP,ITA,Directed,10923,922238373
POL,DEU,Directed,8863,887463495
KOR,RUS,Directed,9421,890347918
ESP,FRA,Directed,10890,854105462
FRA,ESP,Directed,10891,863354120
FRA,GBR,Directed,12598,865482527
ITA,FRA,Directed,3973,844699145
DEU,TUR,Directed,12073,833124562
DEU,CHE,Directed,11380,842483738
BEL,TUR,Directed,1193,768485669
SGP,IDN,Directed,10284,705913571
PRT,ESP,Directed,9088,704512737
GBR,BEL,Directed,1201,671226389
BRA,ARG,Directed,1391,745585116
THA,TUR,Directed,11838,584837255
DEU,CZE,Directed,2884,686455913
ARG,BRA,Directed,130,707791614
BEL,POL,Directed,1148,595835965
ESP,PRT,Directed,9089,658972042
USA,BRA,Directed,12904,641327965
DEU,USA,Directed,12964,609489186
AUT,DEU,Directed,4224,612009850
SAU,ARE,Directed,10021,623653774
NLD,ESP,Directed,7903,589776427
GBR,DEU,Directed,4456,529858565
USA,JPN,Directed,12995,537588731
NLD,CHN,Directed,2285,374309972
KOR,JPN,Directed,6199,530395817
QAT,CHN,Directed,2310,514209368
CHN,USA,Directed,2367,472998113
DEU,SWE,Directed,11188,504224942
USA,KOR,Directed,13062,504920314
ESP,CHN,Directed,2335,364641655
IRN,CHN,Directed,5448,458535202
ITA,ESP,Directed,5991,507163436
FRA,NLD,Directed,7787,507018137
SAU,TUR,Directed,12154,498055341
KOR,USA,Directed,9470,485071555
ESP,DEU,Directed,10896,473453191
DEU,RUS,Directed,4404,472125119
CAN,CHN,Directed,2170,442387176
SAU,ITA,Directed,5976,454705932
KWT,CHN,Directed,2252,386262302
THA,VNM,Directed,11855,460997947
FRA,TUR,Directed,12068,451149472
USA,NLD,Directed,13033,437554050
KOR,NGA,Directed,9401,428632977
JPN,KOR,Directed,6198,451998863
GBR,CHN,Directed,2363,299342378
BEL,DNK,Directed,3005,409507147
ITA,CHN,Directed,2243,298220140
KOR,IDN,Directed,9347,404771948
SGP,THA,Directed,10368,420021850
THA,USA,Directed,13102,413784778
USA,SGP,Directed,13082,416938768
SWE,DEU,Directed,11187,406867859
AUT,ITA,Directed,572,398603225
CZE,DEU,Directed,2883,406379440
NLD,SWE,Directed,7908,400967611
JPN,THA,Directed,11739,394223632
CHN,KOR,Directed,2311,339299741
HUN,ITA,Directed,4900,388468950
JPN,USA,Directed,12996,393004907
GBR,NLD,Directed,12669,376654689
USA,COL,Directed,12922,357781441
