YEM,YEM,69,39,108,105867560,860181,106727741,1,0.668519
MLT,MLT,79,105,184,35421748,70114280,105536028,1,0.647601
SWZ,SWZ,28,38,66,84511814,14593499,99105313,1,0.717959
BIH,BIH,98,64,162,73798356,21380562,95178918,1,0.63787
GHA,GHA,95,55,150,87591715,4567144,92158859,1,0.605922
CUB,CUB,74,43,117,90807131,224872,91032003,1,0.78471
KEN,KEN,65,86,151,43632332,44785763,88418095,1,0.587454
MOZ,MOZ,68,28,96,86650520,729471,87379991,1,0.712884
NAM,NAM,56,50,106,83090711,3854760,86945471,1,0.652939
CIV,CIV,83,64,147,21635143,58846331,80481474,1,0.651515
TZA,TZA,87,61,148,71614356,7894626,79508982,1,0.598996
KGZ,KGZ,47,52,99,59803011,17592047,77395058,1,0.841259
NGA,NGA,78,60,138,67152461,10008803,77161264,1,0.711198
NIC,NIC,81,44,125,59240132,17565332,76805464,1,0.791036
PRY,PRY,70,52,122,55187295,18961283,74148578,1,0.732788
QAT,QAT,71,62,133,55204800,17901978,73106778,1,0.778386
CYP,CYP,104,114,218,59752973,8410750,68163723,1,0.560774
GUY,GUY,53,23,76,67030040,497102,67527142,1,0.684076
MKD,MKD,81,63,144,40723694,25343190,66066884,1,0.742851
AZE,AZE,65,33,98,50983717,11077664,62061381,1,0.816396
OMN,OMN,63,84,147,37247056,16636373,53883429,1,0.716886
SEN,SEN,75,72,147,38253711,14569076,52822787,1,0.600719
ABW,ABW,48,22,70,2945828,49083487,52029315,0,0.783117
BHR,BHR,73,70,143,35658179,16274288,51932467,1,0.770162
ALB,ALB,64,56,120,43987062,5884920,49871982,1,0.790896
JAM,JAM,78,70,148,41663006,6617559,48280565,1,0.656428
ZWE,ZWE,64,51,115,27333928,16857085,44191013,1,0.702324
TGO,TGO,57,48,105,27927562,15019741,42947303,1,0.728286
CMR,CMR,74,55,129,39462724,3283667,42746391,1,0.716077
BOL,BOL,70,59,129,38251972,3712340,41964312,1,0.769798
LBY,LBY,63,11,74,40729263,64207,40793470,1,0.876224
MDG,MDG,79,73,152,33624243,6779756,40403999,1,0.676956
MDA,MDA,74,61,135,20356440,18432924,38789364,1,0.833025
MUS,MUS,81,99,180,28544369,10238038,38782407,1,0.60691
GIN,GIN,63,32,95,37936530,789817,38726347,1,0.736764
