,0,1
0,0.004366812,0.011342316
1,0.008733624,0.022570925
2,0.013100437,0.033429985
3,0.017467249,0.044203764
4,0.021834061,0.054693274
5,0.026200873,0.065012224
6,0.030567686,0.075302746
7,0.034934498,0.085507988
8,0.03930131,0.095428961
9,0.043668122,0.1052078
10,0.048034934,0.114958213
11,0.052401747,0.124623344
12,0.056768559,0.134288476
13,0.061135371,0.143925181
14,0.065502183,0.153533458
15,0.069868996,0.163113309
16,0.074235808,0.172408892
17,0.07860262,0.181704474
18,0.082969432,0.190943203
19,0.087336245,0.200181932
20,0.091703057,0.209193246
21,0.096069869,0.21820456
22,0.100436681,0.227215874
23,0.104803493,0.236198761
24,0.109170306,0.245011086
25,0.113537118,0.253652851
26,0.11790393,0.262152482
27,0.122270742,0.270595258
28,0.126637555,0.278924328
29,0.131004367,0.28722497
30,0.135371179,0.295440332
31,0.139737991,0.303485133
32,0.144104803,0.311387799
33,0.148471616,0.319262039
34,0.152838428,0.327107851
35,0.15720524,0.334953664
36,0.161572052,0.342600489
37,0.165938865,0.350247314
38,0.170305677,0.357780431
39,0.174672489,0.365285121
40,0.179039301,0.372647678
41,0.183406114,0.379981807
42,0.187772926,0.387315936
43,0.192139738,0.394536358
44,0.19650655,0.401728353
45,0.200873362,0.408778214
46,0.205240175,0.41568594
47,0.209606987,0.42256524
48,0.213973799,0.429444539
49,0.218340611,0.436323839
50,0.222707424,0.443174711
51,0.227074236,0.449940304
52,0.231441048,0.456705896
53,0.23580786,0.463386207
54,0.240174672,0.469981238
55,0.244541485,0.476576269
56,0.248908297,0.4831713
57,0.253275109,0.489737904
58,0.257641921,0.496190801
59,0.262008734,0.502615271
60,0.266375546,0.509011314
61,0.270742358,0.515350503
62,0.27510917,0.521547558
63,0.279475983,0.527716186
64,0.283842795,0.533827961
65,0.288209607,0.539854454
66,0.292576419,0.545653533
67,0.296943231,0.551424186
68,0.301310044,0.557194838
69,0.305676856,0.562937063
70,0.310043668,0.568594008
71,0.31441048,0.574165672
72,0.318777293,0.579737336
73,0.323144105,0.585309
74,0.327510917,0.590880664
75,0.331877729,0.596395474
76,0.336244541,0.601853431
77,0.340611354,0.607311388
78,0.344978166,0.612712491
79,0.349344978,0.618085167
80,0.35371179,0.623429416
81,0.358078603,0.628716812
82,0.362445415,0.634004207
83,0.366812227,0.639263176
84,0.371179039,0.644493718
85,0.375545852,0.649724259
86,0.379912664,0.654926374
87,0.384279476,0.660043209
88,0.388646288,0.665046336
89,0.3930131,0.670021036
90,0.397379913,0.674967309
91,0.401746725,0.679856729
92,0.406113537,0.684746148
93,0.410480349,0.689607141
94,0.414847162,0.694468133
95,0.419213974,0.699215419
96,0.423580786,0.703934277
97,0.427947598,0.708624709
98,0.43231441,0.71331514
99,0.436681223,0.717863437
100,0.441048035,0.722383308
101,0.445414847,0.726846324
102,0.449781659,0.731309341
103,0.454148472,0.735743931
104,0.458515284,0.74000796
105,0.462882096,0.744186708
106,0.467248908,0.748308602
107,0.471615721,0.752402069
108,0.475982533,0.75638183
109,0.480349345,0.760333163
110,0.484716157,0.764256069
111,0.489082969,0.768150549
112,0.493449782,0.772045028
113,0.497816594,0.7758258
114,0.502183406,0.779549719
115,0.506550218,0.783188356
116,0.510917031,0.786713287
117,0.515283843,0.790238217
118,0.519650655,0.793734721
119,0.524017467,0.797202797
120,0.528384279,0.800642447
121,0.532751092,0.804082097
122,0.537117904,0.80749332
123,0.541484716,0.810847689
124,0.545851528,0.814202058
125,0.550218341,0.817528
126,0.554585153,0.820825516
127,0.558951965,0.824094605
128,0.563318777,0.827363693
129,0.56768559,0.830604355
130,0.572052402,0.833845017
131,0.576419214,0.837085679
132,0.580786026,0.84024106
133,0.585152838,0.843396441
134,0.589519651,0.846551822
135,0.593886463,0.849678777
136,0.598253275,0.852805731
137,0.602620087,0.855875831
138,0.6069869,0.858917505
139,0.611353712,0.861930752
140,0.615720524,0.864943999
141,0.620087336,0.867928819
142,0.624454148,0.870885212
143,0.628820961,0.873841606
144,0.633187773,0.876741145
145,0.637554585,0.879640685
146,0.641921397,0.882540224
147,0.64628821,0.885411337
148,0.650655022,0.888254022
149,0.655021834,0.891096708
150,0.659388646,0.893910967
151,0.663755459,0.896668372
152,0.668122271,0.899425777
153,0.672489083,0.902183183
154,0.676855895,0.904855307
155,0.681222707,0.907527432
156,0.68558952,0.910142703
157,0.689956332,0.912729547
158,0.694323144,0.915316391
159,0.698689956,0.917874808
160,0.703056769,0.920404798
161,0.707423581,0.922934789
162,0.711790393,0.925407925
163,0.716157205,0.927852635
164,0.720524017,0.930297345
165,0.72489083,0.932656774
166,0.729257642,0.934987776
167,0.733624454,0.937233498
168,0.737991266,0.939422366
169,0.742358079,0.941497527
170,0.746724891,0.94345898
171,0.751091703,0.945420433
172,0.755458515,0.94735346
173,0.759825328,0.949229632
174,0.76419214,0.951077378
175,0.768558952,0.952925124
176,0.772925764,0.954716016
177,0.777292576,0.956506908
178,0.781659389,0.958041958
179,0.786026201,0.959577008
180,0.790393013,0.961083632
181,0.794759825,0.962590255
182,0.799126638,0.964040025
183,0.80349345,0.965404514
184,0.807860262,0.966769003
185,0.812227074,0.968105066
186,0.816593886,0.969441128
187,0.820960699,0.970748763
188,0.825327511,0.972056399
189,0.829694323,0.973335607
190,0.834061135,0.974586389
191,0.838427948,0.975808744
192,0.84279476,0.977031099
193,0.847161572,0.9781966
194,0.851528384,0.979362101
195,0.855895197,0.980470749
196,0.860262009,0.981579396
197,0.864628821,0.982659617
198,0.868995633,0.983682984
