DZA,DZA,58,21,79,585988969,54245075,640234044,1,0.00513,0,13,0.708653
TKM,TKM,23,9,32,44397203,52723305,97120508,1,0.002401,0,13,0.823362
JOR,JOR,52,27,79,325698460,51794866,377493326,1,0.004102,0,13,0.730671
PER,PER,56,34,90,792563149,46810999,839374148,0,0.005024,0,13,0.768644
BWA,BWA,15,10,25,15312198,44334113,59646311,1,0.00204,0,13,0.688406
CHL,CHL,63,47,110,1057529077,42127118,1099656195,3,0.007704,0,13,0.61248
URY,URY,38,24,62,257321701,29823953,287145654,0,0.003184,0,13,0.777983
NZL,NZL,51,58,109,514184775,25531045,539715820,1,0.005705,0,13,0.542253
LVA,LVA,42,30,72,185779338,24573220,210352558,4,0.003393,0,13,0.791667
BIH,BIH,50,30,80,100187839,24285396,124473235,4,0.004226,0,13,0.796633
DOM,DOM,55,35,90,287370429,23946958,311317387,0,0.013228,0,13,0.448859
CRI,CRI,50,35,85,400238182,23108028,423346210,0,0.006729,0,13,0.610452
TUN,TUN,55,42,97,422846000,21684458,444530458,1,0.004359,0,13,0.662173
SYR,SYR,51,43,94,782017438,18103839,800121277,1,0.004461,0,13,0.621251
LBN,LBN,61,63,124,237067666,17405845,254473511,1,0.005409,0,13,0.492475
GTM,GTM,43,27,70,442185402,17231648,459417050,0,0.00509,0,13,0.743351
KEN,KEN,59,35,94,446624989,16974417,463599406,1,0.007581,0,13,0.55879
OMN,OMN,44,38,82,215639396,16884447,232523843,1,0.003582,0,13,0.753945
SLV,SLV,41,18,59,184994044,14947624,199941668,0,0.004689,0,13,0.726087
KAZ,KAZ,55,22,77,288301562,11425325,299726887,0,0.005394,0,13,0.689947
PAN,PAN,47,42,89,82036758,9865270,91902028,0,0.005905,0,13,0.547115
SEN,SEN,45,28,73,94381534,9829113,104210647,1,0.00596,0,13,0.519471
CIV,CIV,52,14,66,199269814,9755915,209025729,1,0.007516,0,13,0.675136
TTO,TTO,43,36,79,93047435,9702498,102749933,0,0.007104,0,13,0.564126
LKA,LKA,50,42,92,380647452,9390639,390038091,1,0.00494,0,13,0.725956
TZA,TZA,52,21,73,276327194,9238023,285565217,1,0.006515,0,13,0.612994
CYP,CYP,52,34,86,80512123,8922733,89434856,1,0.004031,0,13,0.718254
HND,HND,42,15,57,152056434,8754810,160811244,0,0.004779,0,13,0.732323
MAR,MAR,52,36,88,738447812,6408809,744856621,2,0.004642,0,13,0.704327
MLT,MLT,39,23,62,55687506,4728690,60416196,2,0.003083,0,13,0.892706
MKD,MKD,44,11,55,76609583,4687150,81296733,1,0.004137,0,13,0.771045
ECU,ECU,50,34,84,514736586,3225744,517962330,0,0.005186,0,13,0.702732
SWZ,SWZ,10,22,32,5252133,3047857,8299990,1,0.001284,0,13,0.700739
PRY,PRY,29,11,40,129244480,3013806,132258286,0,0.002585,0,13,0.829545
TJK,TJK,10,3,13,3107182,2683252,5790434,1,0.001433,0,13,0.75641
MUS,MUS,38,18,56,86504315,2475737,88980052,1,0.003576,0,13,0.68617
BLZ,BLZ,12,6,18,2252246,2012732,4264978,0,0.002221,0,13,0.712418
YEM,YEM,42,14,56,186840143,1887243,188727386,1,0.00386,0,13,0.743756
BGD,BGD,57,15,72,678758586,1799651,680558237,2,0.006751,0,13,0.645955
BHR,BHR,43,18,61,134688042,1749152,136437194,0,0.003831,0,13,0.824025
NIC,NIC,37,11,48,20828299,1556132,22384431,0,0.005296,0,13,0.736538
SDN,SDN,46,9,55,197523216,1427032,198950248,1,0.003726,0,13,0.830317
NPL,NPL,26,3,29,16947364,1391144,18338508,1,0.002465,0,13,0.931624
ISL,ISL,32,42,74,35021016,1364961,36385977,1,0.002724,0,13,0.77102
SOM,SOM,9,4,13,21737403,1343157,23080560,1,0.001498,0,13,0.856061
LAO,LAO,11,5,16,10328180,1313538,11641718,2,0.001432,0,13,0.942857
TGO,TGO,28,9,37,21582158,1300913,22883071,1,0.003334,0,13,0.71836
MDG,MDG,43,12,55,44423553,1005407,45428960,1,0.004174,0,13,0.743756
MLI,MLI,37,25,62,22921051,921730,23842781,1,0.004748,0,13,0.704545
FJI,FJI,22,17,39,33466285,892258,34358543,2,0.003512,0,13,0.464015
UGA,UGA,41,10,51,93783781,787985,94571766,1,0.004843,0,13,0.684541
ZWE,ZWE,32,9,41,67145188,732217,67877405,0,0.003619,0,13,0.773273
GEO,GEO,44,27,71,29692713,715270,30407983,1,0.003948,0,13,0.776772
BOL,BOL,35,9,44,148670937,664571,149335508,0,0.003517,0,13,0.828078
ARM,ARM,40,10,50,57863882,614810,58478692,1,0.003351,0,13,0.857294
MDA,MDA,48,4,52,61341753,596296,61938049,4,0.004037,0,13,0.861702
KGZ,KGZ,28,12,40,48727324,591088,49318412,1,0.002851,0,13,0.823864
BRN,BRN,23,14,37,7427403,589538,8016941,0,0.002159,0,13,0.967692
LBR,LBR,21,6,27,694346,564598,1258944,1,0.002648,0,13,0.736467
COD,COD,25,4,29,27846507,564480,28410987,1,0.003859,0,13,0.774929
JAM,JAM,35,18,53,65901491,554590,66456081,3,0.004643,0,13,0.674216
GHA,GHA,57,15,72,232765403,548636,233314039,1,0.007031,0,13,0.673067
BMU,BMU,12,3,15,204603,538567,743170,0,0.00142,0,13,0.92381
NER,NER,27,13,40,5661946,511461,6173407,1,0.005226,0,13,0.703361
BRB,BRB,31,14,45,13288565,510532,13799097,3,0.004222,0,13,0.621458
BFA,BFA,15,4,19,4050197,487022,4537219,1,0.002599,0,13,0.758333
TCA,TCA,7,5,12,1631002,472468,2103470,3,0.001408,0,13,0.736364
NGA,NGA,106,13,119,1490945276,467601,1491412877,0,0.022227,0,13,0.378788
AND,AND,9,9,18,688019,412256,1100275,0,0.001263,0,13,0.85
SMR,SMR,6,6,12,4185017,410211,4595228,4,0.001058,0,13,0.945455
DJI,DJI,22,5,27,78748052,353216,79101268,1,0.002203,0,13,0.863248
ALB,ALB,30,12,42,43773701,347862,44121563,1,0.003239,0,13,0.759009
SLE,SLE,25,7,32,3107669,332342,3440011,1,0.002655,0,13,0.835632
ESH,ESH,0,1,1,0,322560,322560,0,0.000724,0,14,0
GAB,GAB,36,11,47,11373865,320086,11693951,1,0.006022,0,13,0.759146
MWI,MWI,27,5,32,31690745,309969,32000714,0,0.002669,0,13,0.793103
MNE,MNE,29,2,31,11159864,282316,11442180,4,0.002895,0,13,0.913793
MDV,MDV,21,3,24,18950011,276528,19226539,1,0.001981,0,13,0.924242
IRQ,IRQ,28,4,32,91942378,269660,92212038,1,0.002631,0,13,0.906085
VGB,VGB,16,5,21,22223796,256374,22480170,1,0.0019,0,13,0.842857
COG,COG,32,5,37,30467427,226642,30694069,1,0.005116,0,13,0.733613
DMA,DMA,20,9,29,3469632,220245,3689877,0,0.003728,0,13,0.638177
