BRB,BRB,27,11,38,10468373,264142,10732515,1,0.686022
BHR,BHR,43,14,57,117741482,1651646,119393128,1,0.822222
BRN,BRN,22,16,38,5459487,241786,5701273,0,0.968661
HND,HND,40,20,60,138124525,4524437,142648962,3,0.66113
DJI,DJI,23,3,26,64152927,47004,64199931,1,0.875
LBN,LBN,56,54,110,282823846,14512637,297336483,2,0.458072
NZL,NZL,50,63,113,529961657,33603258,563564915,1,0.453684
DZA,DZA,61,7,68,610316084,5050811,615366895,1,0.705069
OMN,OMN,43,50,93,173950141,11136358,185086499,1,0.621664
CMR,CMR,45,14,59,73771700,504257,74275957,1,0.694286
MMR,MMR,20,7,27,100244772,907340,101152112,1,0.942857
URY,URY,34,21,55,231554719,30824350,262379069,3,0.776301
KAZ,KAZ,50,14,64,190943494,244135,191187629,1,0.761312
GIB,GIB,8,3,11,33287508,24000,33311508,1,0.936364
UGA,UGA,38,9,47,69822193,418912,70241105,1,0.792102
LKA,LKA,50,44,94,319595314,9887918,329483232,1,0.703789
ZWE,ZWE,37,7,44,81719360,2118677,83838037,1,0.742532
TTO,TTO,35,35,70,88694795,6987721,95682516,1,0.471491
ETH,ETH,55,2,57,98338796,98555,98437351,1,0.660606
LTU,LTU,47,40,87,299597299,37966186,337563485,2,0.664124
SCG,SCG,61,48,109,328684498,244575719,573260217,2,0.556507
SOM,SOM,9,2,11,27345203,12870,27358073,1,0.877778
TKM,TKM,22,13,35,13864366,55049810,68914176,2,0.783476
PRY,PRY,26,9,35,113644438,4153504,117797942,0,0.878917
PAN,PAN,39,23,62,79502594,19955797,99458391,3,0.670048
ZMB,ZMB,39,7,46,60376514,135816,60512330,1,0.621951
LBY,LBY,33,21,54,34118941,75235194,109354135,1,0.813814
JAM,JAM,31,14,45,60316549,457843,60774392,3,0.756757
COG,COG,32,5,37,37666633,23480,37690113,1,0.81016
UZB,UZB,31,20,51,48135289,74988877,123124166,1,0.789474
MOZ,MOZ,35,7,42,31888704,634745,32523449,1,0.690691
AGO,AGO,31,1,32,39611959,1137,39613096,1,0.807527
GHA,GHA,57,16,73,223900160,1404537,225304697,1,0.614583
MRT,MRT,21,1,22,33610332,49500,33659832,1,0.92381
AFG,AFG,19,9,28,18411037,610198,19021235,1,0.848333
BWA,BWA,19,7,26,15878541,281275,16159816,1,0.74026
DMA,DMA,17,11,28,3352027,243929,3595956,0,0.692641
ERI,ERI,13,2,15,15129823,30800,15160623,1,0.901099
GAB,GAB,31,8,39,22824932,382915,23207847,1,0.619841
GEO,GEO,34,22,56,34407357,524852,34932209,2,0.821795
